GeneID,dcp2.1
YEL026W,10539
YEL027W,60815
YEL028W,767
YEL029C,1497
YEL030W,111
YEL031W,1796
YEL032W,371
YEL033W,185
YEL034W,48076
YEL036C,699
YEL037C,964
YEL038W,3899
YEL039C,1692
YEL040W,3040
YEL041W,189
YEL042W,2431
YEL043W,330
YEL044W,1563
YEL045C,34
YEL046C,4419
YEL047C,1414
YEL048C,1671
YEL049W,289
YEL050C,1270
YEL051W,2089
YEL052W,1032
YEL053C,961
YEL054C,28754
YEL055C,1081
YEL056W,737
YEL057C,61
YEL058W,2404
YEL059C-A,1345
YEL059W,22
YEL060C,749
YEL061C,309
YEL062W,645
YEL063C,2970
YEL064C,240
YEL065W,1981
YEL066W,1631
YEL068C,734
YEL070W,83
YEL071W,4388
YEL072W,715
YEL073C,1252
YEL075C,0
YER001W,1376
YER002W,2252
YER003C,3668
YER004W,2575
YER005W,145
YER006C-A,72
YER006W,925
YER007C-A,1958
YER007W,34
YER008C,515
YER009W,18629
YER010C,699
YER011W,42
YER012W,2000
YER013W,119
YER014W,186
YER015W,318
YER016W,548
YER017C,872
YER018C,734
YER019C-A,7423
YER019W,917
YER020W,473
YER021W,543
YER022W,320
YER023C-A,67
YER023W,417
YER024W,0
YER025W,4123
YER026C,2946
YER027C,886
YER028C,33
YER029C,601
YER030W,2122
YER031C,1828
YER032W,219
YER033C,176
YER034W,181
YER035W,1462
YER036C,2497
YER037W,422
YER038C,509
YER038W-A,73
YER039C-A,362
YER040W,690
YER041W,335
YER042W,1129
YER043C,13456
YER044C,6019
YER045C,395
YER046W,1125
YER047C,213
YER048C,745
YER048W-A,2457
YER049W,1157
YER050C,2176
YER051W,154
YER052C,2753
YER053C,1650
YER053C-A,26021
YER054C,144
YER055C,8042
YER056C,11245
YER056C-A,39381
YER057C,8370
YER058W,462
YER059W,405
YER060W,157
YER061C,249
YER062C,687
YER063W,1347
YER064C,713
YER065C,119
YER066W,1058
YER067W,2178
YER068W,886
YER069W,1228
YER070W,2304
YER071C,2716
YER072W,5349
YER073W,2260
YER074W,23577
YER074W-A,1751
YER075C,139
YER076C,493
YER078C,381
YER079W,375
YER080W,364
YER081W,3093
YER082C,383
YER083C,2471
YER084W-A,95
YER086W,1884
YER087C-A,38
YER087C-B,2281
YER087W,148
YER088C,1247
YER089C,1656
YER090W,1489
YER091C,6123
YER092W,4063
YER093C,164
YER093C-A,735
YER094C,4762
YER095W,1765
YER096W,33
