trx,cds,utr5,utr3,
YCR072C,95,88,0,0
YCR073C,25,23,1,0
YCR075C,12,11,0,0
YCR076C,33,29,0,0
YCR077C,311,305,0,0
YCR084C,275,238,11,1
YCR087C-A,75,64,0,0
YCR090C,56,46,0,0
YCR092C,32,32,0,0
YCR095C,29,28,0,0
YCR098C,6,4,NA,0
YCR102C,2,2,0,0
YCL063W,46,45,0,0
YCL058W-A,40,33,0,0
YCL057W,211,206,0,0
YCL055W,45,45,0,0
YCL054W,199,184,0,0
YCL051W,38,38,0,0
YCL048W,1,1,NA,0
YCL040W,670,644,NA,1
YCL039W,52,50,0,0
YCL036W,20,18,NA,0
YCL034W,97,94,1,0
YCL032W,47,47,0,0
YCL028W,364,351,0,0
YCL027W,6,6,0,0
YCL024W,38,38,0,NA
YCL021W-A,4,4,0,0
YCL018W,49,42,0,0
YCL014W,83,79,0,0
YCL005W-A,142,113,0,1
YCL005W,13,12,0,0
YCL004W,14,11,3,0
YCL001W,95,82,0,0
YCR003W,112,108,0,0
YCR008W,51,46,2,0
YCR012W,5425,5151,2,4
YCR016W,77,76,0,0
YCR019W,24,20,2,0
YCR020W-B,26,15,0,1
YCR032W,23,23,NA,0
YCR033W,65,63,NA,1
YCR034W,289,253,0,0
YCR036W,90,88,NA,0
YCR045W-A,2,0,2,0
YCR048W,45,43,0,0
YCR051W,114,102,0,0
YCR052W,121,115,0,1
YCR053W,877,842,0,0
YCR061W,102,96,0,0
YCR063W,15,13,0,2
YCR065W,54,51,1,0
YCR066W,28,26,0,0
YCR068W,19,18,0,0
YCR069W,97,90,2,0
YCR073W-A,108,102,0,0
YCR075W-A,37,27,0,0
YCR079W,10,10,0,0
YCR081W,15,15,0,NA
YCR082W,101,78,0,0
YCR083W,52,43,0,0
YCR085W,0,0,0,0
YCR086W,54,49,0,NA
YCR088W,740,725,0,1
YCR089W,3,3,NA,0
YCR091W,14,11,0,0
YCR093W,238,237,0,0
YCR094W,56,55,0,0
YCR095W-A,1,0,0,1
YCR097W,0,0,0,0
YCR105W,5,5,NA,0
YCR106W,8,6,0,NA
YCR107W,1,1,NA,0
YDL243C,2,1,1,0
YDL239C,2,2,NA,0
YDL238C,1,1,0,0
YDL235C,69,59,0,1
YDL234C,37,32,0,0
YDL231C,2,2,NA,0
YDL227C,38,38,NA,0
YDL226C,91,85,0,0
YDL224C,56,56,0,0
YDL222C,2,2,NA,NA
YDL220C,9,8,NA,0
YDL217C,28,27,0,0
YDL216C,7,7,NA,0
YDL215C,45,45,NA,0
YDL214C,1,1,0,0
YDL213C,71,62,0,0
YDL211C,4,4,0,0
YDL209C,14,14,0,0
YDL205C,11,7,0,0
YDL203C,25,24,1,0
YDL200C,5,4,NA,0
YDL199C,5,5,0,0
YDL198C,136,115,0,0
YDL197C,3,3,0,0
YDL190C,53,50,1,0
YDL188C,61,59,0,1
YDL187C,0,0,0,0
YDL184C,593,149,0,5
YDL183C,7,7,0,0
YDL177C,7,5,1,0
YDL175C,30,28,0,0
YDL174C,64,63,0,NA
YDL171C,306,298,3,NA
YDL169C,7,7,NA,0
YDL167C,32,31,0,0
YDL166C,25,21,0,0
YDL164C,54,51,0,1
YDL160C-A,8,6,0,0
YDL160C,126,112,4,0
YDL157C,46,37,0,0
YDL153C,62,61,0,0
YDL148C,70,69,0,NA
YDL145C,209,205,1,0
YDL144C,18,17,0,0
YDL142C,19,17,0,0
YDL140C,135,134,NA,0
YDL139C,9,7,NA,0
YDL135C,67,59,0,0
YDL134C,83,76,3,0
YDL133C-A,577,149,0,6
YDL126C,596,581,0,0
YDL125C,112,99,NA,0
YDL121C,38,34,0,0
YDL119C,24,24,0,0
YDL115C,21,21,0,0
YDL113C,23,23,0,0
YDL111C,38,36,0,0
YDL110C,79,73,1,0
YDL109C,4,3,NA,1
YDL106C,35,35,0,0
YDL104C,7,7,0,0
YDL103C,106,101,0,0
YDL101C,42,41,0,0
