trx,cds,utr5,utr3,
YDR010C,8,4,3,0
YDR016C,74,48,0,16
YDR017C,287,261,NA,19
YDR018C,48,43,NA,4
YDR019C,379,329,NA,33
YDR020C,66,44,NA,19
YDR022C,54,45,0,6
YDR026C,100,87,6,3
YDR027C,189,182,2,2
YDR028C,799,714,NA,68
YDR030C,58,55,0,0
YDR032C,1105,740,96,192
YDR034C,200,190,3,3
YDR036C,238,211,0,20
YDR038C,991,969,NA,14
YDR042C,9,8,NA,1
YDR045C,165,56,48,42
YDR046C,727,642,30,22
YDR048C,10,0,8,2
YDR050C,9132,7716,165,514
YDR051C,152,130,6,9
YDR052C,221,177,10,25
YDR054C,376,206,41,114
YDR056C,150,109,13,9
YDR058C,41,32,0,5
YDR059C,158,110,3,29
YDR066C,37,25,1,7
YDR067C,89,69,3,8
YDR069C,220,194,NA,23
YDR070C,34,13,5,9
YDR071C,465,338,19,38
YDR072C,405,356,25,12
YDR078C,30,21,0,4
YDR079C-A,76,35,0,28
YDR081C,173,166,5,1
YDR084C,176,137,0,22
YDR085C,245,228,NA,15
YDR086C,945,395,130,359
YDR087C,162,126,8,14
YDR088C,58,37,10,9
YDR090C,98,64,1,29
YDR091C,968,787,20,127
YDR097C,266,257,2,2
YDR098C,502,478,NA,14
YDR101C,432,411,0,11
YDR104C,110,107,NA,2
YDR105C,212,183,8,8
YDR107C,107,97,0,7
YDR109C,110,106,NA,2
YDR111C,142,124,10,7
YDR113C,72,69,1,1
YDR116C,290,240,0,26
YDR117C,204,192,1,5
YDR120C,336,307,NA,27
YDR123C,68,37,1,26
YDR125C,63,40,NA,22
YDR129C,1185,1028,16,99
YDR130C,94,71,0,19
YDR131C,113,101,3,3
YDR132C,58,48,3,5
YDR133C,1071,463,354,149
YDR135C,1336,1303,NA,24
YDR139C,179,69,10,63
YDR141C,691,683,NA,NA
YDR142C,111,85,11,6
YDR143C,334,276,18,27
YDR144C,347,306,16,13
YDR146C,431,408,NA,19
YDR148C,762,627,1,99
YDR151C,174,137,18,14
YDR153C,270,206,23,27
YDR162C,114,63,10,34
YDR164C,214,189,4,12
YDR166C,247,239,NA,3
YDR169C,256,170,42,36
YDR170C,1855,1800,NA,45
YDR173C,73,70,3,NA
YDR175C,253,210,9,19
YDR179C,39,29,0,6
YDR181C,89,75,0,12
YDR185C,29,18,6,2
YDR186C,413,385,10,10
YDR190C,506,450,1,28
YDR192C,117,103,2,5
YDR194C,891,801,5,47
YDR196C,121,102,NA,9
YDR198C,84,76,2,4
YDR200C,141,128,2,9
YDR202C,88,79,1,3
YDR207C,143,136,4,NA
YDR215C,10,1,0,9
YDR217C,167,159,1,NA
YDR218C,12,10,NA,2
YDR219C,144,98,NA,40
YDR224C,1315,974,37,110
YDR228C,172,152,13,3
YDR231C,156,121,0,26
YDR233C,2088,1676,59,175
YDR236C,104,86,1,9
YDR238C,1690,1516,8,99
YDR239C,156,141,0,8
YDR240C,71,70,0,0
YDR243C,95,64,0,29
YDR248C,134,111,10,6
YDR249C,45,38,1,5
YDR253C,11,5,4,1
YDR255C,142,89,1,44
YDR256C,7,7,NA,0
YDR257C,195,147,0,42
YDR258C,1036,987,5,26
YDR259C,78,56,15,6
YDR260C,91,44,2,37
YDR261C,486,431,5,31
YDR263C,48,38,3,5
YDR264C,502,439,6,49
YDR266C,387,320,33,19
YDR267C,94,69,4,17
YDR271C,7,1,NA,6
YDR274C,1,0,NA,1
YDR276C,1379,380,87,629
YDR277C,140,96,10,29
YDR281C,3,1,0,0
YDR282C,91,61,0,27
YDR283C,367,350,NA,15
YDR284C,532,392,75,24
YDR286C,44,30,NA,5
YDR289C,130,113,2,8
YDR292C,289,253,13,12
YDR293C,1220,1018,183,NA
YDR294C,576,549,3,7
YDR295C,151,132,13,3
