trx,cds,utr5,utr3,
YCR030C,1655,1492,33,90
YCR031C,8343,5693,0,1501
YCR035C,554,452,0,50
YCR037C,723,679,NA,23
YCR038C,237,188,NA,6
YCR042C,1076,1048,0,NA
YCR043C,482,251,20,133
YCR044C,308,286,0,9
YCR045C,4,3,1,0
YCR046C,520,400,NA,78
YCR047C,276,201,7,45
YCR054C,424,379,7,26
YCR057C,1274,1176,14,49
YCR059C,395,320,0,51
YCR064C,3,2,NA,NA
YCR067C,1345,1271,32,28
YCR071C,410,294,18,28
YCR072C,454,403,2,26
YCR073C,567,549,3,4
YCR075C,209,183,0,9
YCR076C,221,202,0,14
YCR077C,2490,2293,26,128
YCR084C,2641,2235,195,144
YCR087C-A,209,132,10,32
YCR090C,303,244,8,10
YCR092C,364,338,1,11
YCR095C,262,221,7,15
YCR098C,188,164,NA,21
YCR102C,65,59,0,6
YCL063W,316,266,1,29
YCL058W-A,80,57,2,9
YCL057W,1350,1267,0,57
YCL055W,221,186,3,18
YCL054W,844,788,0,31
YCL051W,544,452,76,5
YCL048W,17,11,NA,5
YCL040W,5520,4822,NA,496
YCL039W,565,552,0,7
YCL036W,287,265,NA,10
YCL034W,600,551,5,16
YCL032W,321,270,10,21
YCL028W,1031,929,7,37
YCL027W,43,39,0,4
YCL024W,785,756,15,NA
YCL021W-A,19,9,1,5
YCL018W,1226,1084,7,37
YCL014W,1147,1083,28,16
YCL005W-A,577,373,28,100
YCL005W,258,221,4,20
YCL004W,403,364,7,6
YCL001W,503,406,1,41
YCR003W,482,373,0,61
YCR008W,1160,793,200,135
YCR012W,29012,24826,253,2345
YCR016W,291,224,2,39
YCR019W,269,225,21,13
YCR020W-B,591,159,11,353
YCR032W,875,856,NA,9
YCR033W,594,563,NA,26
YCR034W,1467,1218,5,137
YCR036W,899,812,NA,44
YCR045W-A,352,63,128,140
YCR048W,300,251,2,31
YCR051W,455,309,3,107
YCR052W,815,633,5,115
YCR053W,4480,4093,76,89
YCR061W,518,437,1,67
YCR063W,360,174,0,165
YCR065W,924,692,52,131
YCR066W,206,174,2,20
YCR068W,379,330,35,1
YCR069W,658,485,52,73
YCR073W-A,574,493,0,26
YCR075W-A,139,89,0,20
YCR079W,254,228,0,19
YCR081W,602,594,0,NA
YCR082W,695,507,15,57
YCR083W,250,197,0,32
YCR085W,4,2,2,NA
YCR086W,175,155,5,NA
YCR088W,2089,1844,32,126
YCR089W,1031,1009,NA,12
YCR091W,236,212,5,9
YCR093W,3290,3231,8,19
YCR094W,610,493,12,76
YCR095W-A,399,19,31,338
YCR097W,0,0,0,0
YCR105W,17,17,NA,0
YCR106W,528,516,1,NA
YCR107W,371,276,NA,83
YDL243C,215,148,51,10
YDL239C,108,104,NA,2
YDL238C,153,141,0,4
YDL235C,404,200,68,90
YDL234C,476,434,22,6
YDL231C,865,854,NA,0
YDL227C,107,105,NA,1
YDL226C,586,462,2,86
YDL224C,725,554,103,51
YDL222C,93,90,NA,NA
YDL220C,230,208,NA,19
YDL217C,204,138,43,2
YDL216C,94,84,NA,8
YDL215C,1073,1018,NA,49
YDL214C,53,51,1,0
YDL213C,250,211,0,25
YDL211C,76,61,3,8
YDL209C,98,77,1,16
YDL205C,278,198,29,40
YDL203C,370,304,31,26
YDL200C,62,53,NA,3
YDL199C,78,71,1,5
YDL198C,464,377,4,40
YDL197C,351,316,0,20
YDL190C,716,625,45,28
YDL188C,439,355,31,37
YDL187C,64,9,53,NA
YDL184C,3305,318,47,2168
YDL183C,52,43,3,0
YDL177C,56,45,2,8
YDL175C,166,136,1,19
YDL174C,703,671,5,NA
YDL171C,2285,2160,99,NA
YDL169C,34,25,NA,4
YDL167C,456,401,8,25
YDL166C,149,122,2,14
YDL164C,331,278,3,31
YDL160C-A,60,25,1,27
YDL160C,2069,1364,217,429
YDL157C,144,97,0,15
YDL153C,296,254,4,23
YDL148C,494,479,1,NA
YDL145C,2143,1937,116,46
YDL144C,202,175,0,14
YDL142C,142,121,0,10
YDL140C,2161,2103,NA,36
YDL139C,49,32,NA,13
YDL135C,298,204,4,75
YDL134C,739,509,167,29
YDL133C-A,4290,318,0,3075
YDL126C,3331,3077,44,119
YDL125C,948,710,NA,163
YDL121C,215,142,0,53
YDL119C,166,135,1,24
YDL115C,165,127,0,15
YDL113C,256,232,7,8
YDL111C,365,307,17,13
YDL110C,375,223,32,87
YDL109C,288,219,NA,62
YDL106C,313,285,8,16
YDL104C,59,52,0,6
YDL103C,375,325,9,15
YDL101C,258,232,0,15
YDL100C,1033,888,11,62
YDL098C,43,32,0,9
YDL097C,999,882,9,58
YDL094C,11,8,1,1
YDL091C,166,150,6,7
YDL090C,129,115,0,8
YDL088C,426,359,20,31
YDL087C,95,75,0,15
YDL086C-A,12,7,2,1
YDL085C-A,80,27,13,26
YDL083C,3423,2287,0,652
YDL081C,2733,1363,322,479
YDL080C,268,238,NA,23
YDL079C,30,25,NA,4
YDL078C,645,538,23,37
YDL077C,317,312,NA,1
YDL076C,198,138,17,32
YDL074C,486,417,19,19
YDL072C,1053,733,53,157
YDL069C,53,37,9,2
YDL067C,743,192,40,331
YDL065C,160,148,0,1
YDL063C,346,303,16,13
YDL061C,1680,613,0,684
YDL059C,30,29,1,NA
YDL055C,6081,4593,624,606
YDL054C,162,147,5,6
YDL053C,376,221,62,47
YDL052C,300,256,5,22
YDL049C,64,39,9,11
YDL048C,137,116,2,12
YDL045C,196,159,9,13
YDL044C,126,116,0,5
YDL043C,149,113,4,30
YDL042C,211,181,4,13
YDL040C,957,914,4,14
YDL039C,39,33,NA,6
YDL036C,151,131,NA,13
YDL035C,283,268,NA,12
YDL033C,112,94,2,13
YDL028C,222,198,11,8
YDL027C,297,252,5,24
YDL025C,343,295,28,5
YDL024C,22,18,NA,2
YDL020C,714,552,92,44
YDL019C,595,576,NA,10
YDL018C,164,121,11,14
YDL015C,737,683,20,NA
YDL012C,240,132,0,53
YDL009C,22,6,16,NA
YDL005C,335,268,1,44
