Geneid,WT_1
YJR120W,867
YJR121W,21064
YJR122W,1084
YJR123W,17817
YJR124C,2425
YJR126C,2729
YJR127C,2915
YJR128W,20
YJR129C,640
YJR130C,878
YJR131W,1424
YJR132W,3814
YJR133W,1021
YJR134C,1450
YJR135C,268
YJR135W-A,657
YJR136C,583
YJR137C,6270
YJR138W,2100
YJR139C,7255
YJR140C,2126
YJR140W-A,4
YJR141W,344
YJR142W,1143
YJR143C,11919
YJR144W,1480
YJR145C,12880
YJR146W,273
YJR147W,3660
YJR148W,5153
YJR149W,439
YJR150C,7
YJR151C,538
YJR151W-A,0
YJR152W,381
YJR153W,82
YJR154W,191
YJR155W,308
YJR156C,66
YJR157W,1
YJR158W,1
YJR159W,250
YJR160C,46
YJR161C,1687
YJR162C,1
YBL047C,16237
YBR012W-B,10278
YBR078W,21795
YBR140C,8547
YBL113C,961
YBL113W-A,22
YBL112C,125
YBL111C,702
YBL109W,47
YBL108C-A,2
YBL108W,1
YBL107W-A,3
YBL107C,820
YBL106C,797
YBL105C,3483
YBL104C,1398
YBL103C,1109
YBL102W,2095
YBL101C,1916
YBL100W-C,4
YBL100W-B,7691
YBL100W-A,1952
YBL100C,0
YBL099W,10609
YBL098W,787
YBL097W,630
YBL096C,7
YBL095W,793
YBL094C,15
YBL093C,1444
YBL092W,9137
YBL091C-A,190
YBL091C,2885
YBL090W,815
YBL089W,1285
YBL088C,2489
YBL087C,6826
YBL086C,841
YBL085W,4037
YBL084C,1067
YBL083C,1039
YBL082C,2669
YBL081W,5519
YBL080C,495
YBL079W,7349
YBL078C,311
YBL077W,3
YBL076C,16105
YBL075C,771
YBL074C,273
YBL073W,3
YBL072C,13682
YBL071C-B,170
YBL071W-A,641
YBL071C,11
YBL070C,2
YBL069W,1578
YBL068W-A,441
YBL068W,1812
YBL067C,3355
YBL066C,2396
YBL065W,9
YBL064C,701
YBL063W,928
YBL062W,4
YBL061C,2932
YBL060W,685
YBL059C-A,890
YBL059W,500
YBL058W,2923
YBL057C,1507
YBL056W,3417
YBL055C,1467
YBL054W,3289
YBL053W,25
YBL052C,1224
YBL051C,4032
YBL050W,1675
YBL049W,85
YBL048W,28
YBL046W,763
YBL045C,5605
YBL044W,9
YBL043W,599
YBL042C,5914
YBL041W,2064
YBL040C,2199
YBL039W-B,103
YBL039C,7338
YBL039C-A,1720
YBL038W,1297
YBL037W,1991
YBL036C,1490
YBL035C,1284
YBL034C,1895
YBL033C,1328
YBL032W,3004
YBL031W,589
YBL030C,10632
YBL029C-A,739
YBL029W,407
YBL028C,1487
YBL027W,11032
YBL026W,1165
YBL025W,398
YBL024W,5404
YBL023C,2141
YBL022C,4662
YBL021C,374
YBL020W,3463
YBL019W,525
YBL018C,607
YBL017C,7846
YBL016W,2353
YBL015W,1290
YBL014C,1888
YBL013W,283
YBL012C,2
YBL011W,3603
YBL010C,465
YBL009W,1633
YBL008W-A,28
YBL008W,1558
YBL007C,9994
YBL006C,1452
YBL006W-A,17
YBL005W,1393
YBL005W-B,24768
YBL005W-A,13610
YBL004W,14064
YBL003C,3057
YBL002W,5998
YBL001C,1211
YBR001C,1260
YBR002C,1572
YBR003W,2024
YBR004C,2216
YBR005W,1023
YBR006W,599
YBR007C,1430
YBR008C,1107
YBR009C,5241
YBR010W,3344
YBR011C,12621
YBR012C,0
YBR012W-A,3057
YBR013C,1
YBR014C,1313
YBR015C,7591
YBR016W,1875
YBR017C,5391
YBR018C,18
YBR019C,70
YBR020W,120
YBR021W,1871
YBR022W,553
YBR023C,7286
YBR024W,385
YBR025C,9278
YBR026C,1718
YBR027C,115
YBR028C,2006
YBR029C,3258
YBR030W,1199
YBR031W,10324
YBR032W,4
YBR033W,146
YBR034C,4059
YBR035C,1671
YBR036C,5154
YBR037C,876
YBR038W,4064
YBR039W,3791
YBR040W,205
YBR041W,3663
YBR042C,1316
YBR043C,1362
YBR044C,1201
YBR045C,313
YBR046C,509
YBR047W,101
YBR048W,10595
YBR049C,3088
YBR050C,57
YBR051W,8
YBR052C,1489
YBR053C,1075
YBR054W,3475
YBR055C,1992
YBR056W,1358
YBR056W-A,308
YBR056C-B,23
YBR057C,967
YBR058C,2509
YBR058C-A,1053
YBR059C,3571
YBR060C,1473
YBR061C,1215
YBR062C,441
YBR063C,525
YBR064W,0
YBR065C,794
YBR066C,584
YBR067C,5421
YBR068C,13448
YBR069C,6795
YBR070C,698
YBR071W,1687
YBR072W,172
YBR072C-A,22
YBR073W,3806
YBR074W,5923
YBR076W,24
YBR076C-A,556
YBR077C,853
YBR079C,9819
YBR080C,3520
YBR081C,2494
YBR082C,7030
YBR083W,1998
YBR084W,8671
YBR084C-A,11211
YBR085W,234
YBR085C-A,1622
YBR086C,17272
YBR087W,1318
YBR088C,1878
YBR089W,7
YBR089C-A,1784
YBR090C,1523
YBR091C,380
YBR092C,5639
YBR093C,3917
YBR094W,1907
YBR095C,957
YBR096W,2421
YBR097W,1529
YBR098W,419
YBR099C,40
YBR101C,2074
YBR102C,1229
YBR103W,1017
YBR103C-A,4
YBR104W,1327
YBR105C,2390
YBR106W,4853
YBR107C,322
YBR108W,1165
YBR109C,2786
YBR109W-A,109
YBR110W,2334
YBR111C,1730
YBR111W-A,379
YBR112C,4884
YBR113W,31
YBR114W,1055
YBR115C,7461
YBR116C,60
YBR117C,173
YBR118W,41735
YBR119W,472
YBR120C,519
YBR121C,11523
YBR121C-A,866
YBR122C,1652
YBR123C,928
YBR124W,2
YBR125C,1803
YBR126C,4477
YBR126W-A,1639
YBR126W-B,1601
YBR127C,12399
YBR128C,158
YBR129C,970
YBR130C,1571
YBR131W,828
YBR131C-A,0
YBR132C,935
YBR133C,3896
YBR134W,6
YBR135W,1689
YBR136W,2744
YBR137W,995
YBR138C,552
YBR139W,3841
YBR141C,638
YBR141W-A,23
YBR142W,4000
YBR143C,7155
YBR144C,26
YBR145W,754
YBR146W,2694
YBR147W,89
YBR148W,145
YBR149W,2685
YBR150C,789
YBR151W,3666
YBR152W,356
YBR153W,704
YBR154C,2708
YBR155W,1668
YBR156C,730
YBR157C,951
YBR158W,7181
YBR159W,2699
YBR160W,1669
YBR161W,847
YBR162C,13379
YBR162W-A,1752
YBR163W,971
YBR164C,1620
YBR165W,873
YBR166C,1721
YBR167C,349
YBR168W,803
YBR169C,989
YBR170C,1374
YBR171W,2364
YBR172C,3697
YBR173C,2436
YBR174C,11
YBR175W,1218
YBR176W,559
YBR177C,2835
YBR178W,8
YBR179C,1401
YBR180W,33
YBR181C,5490
YBR182C,458
YBR182C-A,59
YBR183W,1278
YBR184W,171
YBR185C,1003
YBR186W,26
YBR187W,3785
YBR188C,391
YBR189W,11124
YBR190W,627
YBR191W,8545
YBR191W-A,419
YBR192W,1154
YBR193C,693
YBR194W,340
YBR195C,817
YBR196C,24742
YBR196C-A,65
YBR196C-B,94
YBR197C,702
YBR198C,1937
YBR199W,3397
YBR200W,1783
YBR200W-A,0
YBR201W,721
YBR201C-A,431
YBR202W,3632
YBR203W,1261
YBR204C,645
YBR205W,3432
YBR206W,1359
YBR207W,2554
YBR208C,4583
YBR209W,5
YBR210W,975
YBR211C,656
YBR212W,3773
YBR213W,426
YBR214W,2301
YBR215W,1040
YBR216C,1369
YBR217W,320
YBR218C,10155
YBR219C,613
YBR220C,2287
YBR221C,8690
YBR221W-A,2
YBR222C,3839
YBR223C,544
YBR223W-A,0
YBR224W,94
YBR225W,1591
YBR226C,18
YBR227C,869
YBR228W,432
YBR229C,4143
YBR230C,1782
YBR230W-A,295
YBR231C,255
YBR232C,4
YBR233W,989
YBR233W-A,695
YBR234C,4392
YBR235W,2033
YBR236C,1334
YBR237W,841
YBR238C,7560
YBR239C,1451
YBR240C,198
YBR241C,1126
YBR242W,1559
YBR243C,2449
YBR244W,537
YBR245C,3846
YBR246W,1925
YBR247C,2982
YBR248C,2046
YBR249C,7898
YBR250W,87
YBR251W,824
YBR252W,1541
YBR253W,551
YBR254C,843
YBR255W,649
YBR255C-A,416
YBR256C,1644
YBR257W,546
YBR258C,369
YBR259W,812
YBR260C,1595
YBR261C,1275
YBR262C,997
YBR263W,7242
YBR264C,549
YBR265W,2044
YBR267W,2594
YBR266C,2
YBR268W,1240
YBR269C,713
YBR270C,335
YBR271W,992
YBR272C,864
YBR273C,1150
YBR274W,1168
YBR275C,2478
YBR276C,2499
YBR277C,5
YBR278W,389
YBR279W,2011
YBR280C,447
YBR281C,2375
YBR282W,689
YBR283C,10371
YBR284W,164
YBR285W,27
YBR286W,14858
YBR287W,5948
YBR288C,1031
YBR289W,1526
YBR290W,1200
YBR291C,737
YBR292C,151
YBR293W,925
YBR294W,111
YBR295W,1415
YBR296C,326
YBR296C-A,5
YBR297W,609
YBR298C,345
YBR298C-A,1
YBR299W,55
YBR300C,24
YBR301W,49
YBR302C,1240
YDR293C,7121
YDL183C,207
YDL112W,5740
YDL033C,1124
YDR036C,1437
YDR100W,996
YDR166C,2155
YDR351W,2408
YDR420W,7303
YDR496C,4020
YDL248W,1043
YDL247W-A,67
YDL247W,192
YDL246C,2
YDL245C,5
YDL244W,73
YDL243C,355
YDL242W,23
YDL241W,435
YDL240C-A,0
YDL240W,1746
YDL239C,437
YDL238C,354
YDL237W,2486
YDL236W,2244
YDL235C,2072
YDL234C,1396
YDL233W,543
YDL232W,634
YDL231C,3126
YDL230W,531
YDL229W,41265
YDL228C,8
YDL227C,1734
YDL226C,2422
YDL225W,2094
YDL224C,4018
YDL223C,594
YDL222C,168
YDL221W,25
YDL220C,1124
YDL219W,1030
YDL218W,224
YDL217C,846
YDL216C,408
YDL215C,1654
