trx,cds,utr5,utr3,
YCR086W,147,139,0,NA
YCR088W,1643,1601,3,0
YCR089W,9,9,NA,0
YCR091W,91,88,0,0
YCR093W,575,568,0,0
YCR094W,149,133,1,0
YCR095W-A,14,0,9,4
YCR097W,0,0,0,0
YCR105W,4,4,NA,0
YCR106W,43,36,0,NA
YCR107W,12,9,NA,0
YDL243C,3,3,0,0
YDL239C,0,0,0,0
YDL238C,21,21,0,0
YDL235C,100,86,1,1
YDL234C,139,134,1,0
YDL231C,10,9,NA,0
YDL227C,75,74,NA,1
YDL226C,395,366,0,0
YDL224C,163,157,2,0
YDL222C,30,30,NA,NA
YDL220C,22,22,NA,0
YDL217C,118,94,1,0
YDL216C,28,28,NA,0
YDL215C,212,209,NA,0
YDL214C,2,2,0,0
YDL213C,232,211,0,0
YDL211C,18,17,0,0
YDL209C,55,49,0,0
YDL205C,79,70,1,0
YDL203C,88,78,2,0
YDL200C,20,19,NA,0
YDL199C,22,20,0,0
YDL198C,217,174,0,0
YDL197C,15,14,0,0
YDL190C,203,183,4,0
YDL188C,143,137,3,0
YDL187C,6,0,6,NA
YDL184C,1175,296,0,5
YDL183C,17,14,0,0
YDL177C,16,14,0,0
YDL175C,97,92,0,0
YDL174C,472,453,0,NA
YDL171C,421,408,4,NA
YDL169C,14,14,NA,0
YDL167C,122,117,0,0
YDL166C,97,82,0,0
YDL164C,134,133,1,0
YDL160C-A,19,12,0,0
YDL160C,946,885,8,1
YDL157C,143,115,0,0
YDL153C,190,184,0,0
YDL148C,284,280,0,NA
YDL145C,481,462,5,1
YDL144C,42,38,0,0
YDL142C,41,38,1,0
YDL140C,323,318,NA,0
YDL139C,23,21,NA,0
YDL135C,156,142,0,0
YDL134C,217,198,7,0
YDL133C-A,1196,296,0,2
YDL126C,1624,1584,0,0
YDL125C,244,223,NA,1
YDL121C,95,72,0,0
YDL119C,51,44,2,0
YDL115C,70,67,0,0
YDL113C,69,67,0,0
YDL111C,152,145,2,0
YDL110C,208,187,0,1
YDL109C,2,1,NA,0
YDL106C,128,125,0,0
YDL104C,19,17,0,0
YDL103C,310,291,0,0
YDL101C,90,88,0,0
YDL100C,584,544,0,2
YDL098C,22,19,0,0
YDL097C,528,517,0,0
YDL094C,0,0,0,0
YDL091C,60,55,0,0
YDL090C,39,35,0,0
YDL088C,133,132,0,0
YDL087C,24,23,0,0
YDL086C-A,1,0,0,0
YDL085C-A,49,39,1,0
YDL083C,1143,907,0,0
YDL081C,975,741,12,3
YDL080C,31,29,NA,0
YDL079C,14,14,NA,0
YDL078C,357,331,0,0
YDL077C,56,52,NA,0
YDL076C,75,60,8,0
YDL074C,164,156,0,0
YDL072C,394,332,1,0
YDL069C,15,15,0,0
YDL067C,265,139,0,2
YDL065C,177,162,0,0
YDL063C,126,118,0,0
YDL061C,572,289,0,2
YDL059C,15,11,3,NA
YDL055C,2126,1955,15,1
YDL054C,43,38,0,0
YDL053C,157,137,2,0
YDL052C,121,109,0,0
YDL049C,7,6,0,0
YDL048C,39,39,0,0
YDL045C,55,53,0,0
YDL044C,64,57,0,0
YDL043C,96,72,1,0
YDL042C,56,52,0,0
YDL040C,408,386,0,0
YDL039C,17,15,NA,0
YDL036C,56,52,NA,0
YDL035C,38,37,NA,0
YDL033C,17,15,0,0
YDL028C,79,71,3,0
YDL027C,41,29,1,0
YDL025C,76,70,1,0
YDL024C,3,3,NA,0
YDL020C,223,208,2,0
YDL019C,178,177,NA,0
YDL018C,88,77,0,0
YDL015C,339,311,0,NA
YDL012C,236,210,0,1
YDL009C,0,0,0,0
YDL005C,151,146,0,0
YDL002C,88,79,2,0
YDR001C,472,466,NA,0
YDR005C,103,95,0,0
YDR006C,107,100,0,0
YDR008C,5,3,NA,2
YDR010C,2,0,2,0
YDR016C,37,27,0,0
YDR017C,135,127,NA,0
YDR018C,8,8,NA,0
YDR019C,242,225,NA,1
YDR020C,52,47,NA,0
YDR022C,24,23,0,0
YDR026C,54,51,2,0
YDR027C,59,56,0,0
YDR028C,327,317,NA,0
YDR030C,16,15,0,0
YDR032C,537,455,3,0
YDR034C,59,56,2,1
YDR036C,77,71,0,0
YDR038C,275,262,NA,0
YDR042C,0,0,0,0
YDR045C,90,64,3,0
YDR046C,350,326,4,0
YDR048C,0,0,0,0
YDR050C,3613,3316,3,5
YDR051C,94,89,0,0
YDR052C,87,83,1,0
YDR054C,250,233,2,1
YDR056C,126,102,0,0
YDR058C,33,28,0,0
YDR059C,89,75,0,0
YDR066C,13,12,0,0
YDR067C,52,40,3,0
YDR069C,76,73,NA,0
YDR070C,18,11,0,0
YDR071C,404,341,6,0
YDR072C,180,174,3,0
YDR078C,11,10,0,0
YDR079C-A,41,22,0,0
YDR081C,78,73,0,0
YDR084C,86,76,0,0
YDR085C,57,56,NA,0
YDR086C,278,182,8,1
YDR087C,230,219,0,0
YDR088C,66,62,1,0
YDR090C,54,45,2,0
YDR091C,490,477,0,0
YDR097C,149,142,0,0
YDR098C,347,338,NA,0
YDR101C,364,349,0,0
YDR104C,19,17,NA,0
YDR105C,93,87,0,0
YDR107C,25,21,0,0
YDR109C,44,42,NA,0
YDR111C,98,90,1,0
YDR113C,88,86,0,0
YDR116C,176,165,0,0
YDR117C,119,110,0,0
YDR120C,186,184,NA,0
YDR123C,56,46,1,0
YDR125C,6,6,NA,0
YDR129C,1029,991,0,0
YDR130C,84,74,0,0
YDR131C,21,21,0,0
YDR132C,19,17,1,0
YDR133C,613,3,533,0
YDR135C,287,281,NA,0
YDR139C,66,46,0,0
YDR141C,187,186,NA,NA
YDR142C,28,20,1,0
YDR143C,126,118,4,0
YDR144C,92,86,1,0
YDR146C,258,255,NA,0
YDR148C,504,475,0,0
YDR151C,126,116,1,0
YDR153C,261,249,1,0
YDR162C,106,98,2,0
YDR164C,82,76,0,0
YDR166C,115,113,NA,0
YDR169C,156,145,3,0
YDR170C,524,522,NA,0
YDR173C,39,36,2,NA
YDR175C,175,154,0,0
YDR179C,43,37,0,0
YDR181C,60,59,0,1
YDR185C,18,16,0,0
YDR186C,108,102,1,0
YDR190C,445,423,0,0
YDR192C,99,96,0,0
YDR194C,274,258,0,0
YDR196C,81,74,NA,0
YDR198C,33,30,0,0
YDR200C,62,55,0,0
YDR202C,49,47,0,0
YDR207C,70,70,0,NA
YDR215C,5,2,0,2
YDR217C,59,57,0,NA
YDR218C,2,2,NA,0
YDR219C,94,91,NA,0
YDR224C,1274,1044,4,3
YDR228C,131,129,0,0
YDR231C,93,82,0,0
YDR233C,715,667,0,0
YDR236C,68,68,0,0
YDR238C,723,693,0,0
YDR239C,48,42,0,0
YDR240C,35,34,0,0
YDR243C,66,64,0,0
YDR248C,48,39,0,0
YDR249C,12,9,3,0
YDR253C,1,1,0,0
YDR255C,36,33,0,1
YDR256C,2,2,NA,0
YDR257C,104,99,0,0
YDR258C,944,920,0,0
YDR259C,13,13,0,0
YDR260C,92,80,0,0
YDR261C,69,66,0,0
YDR263C,11,10,0,0
YDR264C,163,154,0,0
YDR266C,278,269,5,0
YDR267C,51,49,0,0
YDR271C,2,2,NA,0
YDR274C,0,0,0,0
YDR276C,445,289,4,4
YDR277C,145,126,2,0
YDR281C,0,0,0,0
YDR282C,27,22,0,1
YDR283C,103,102,NA,0
YDR284C,125,113,1,0
YDR286C,22,20,NA,0
YDR289C,102,93,1,0
YDR292C,150,140,1,0
YDR293C,404,387,10,NA
YDR294C,205,201,0,0
YDR295C,83,72,0,0
YDR298C,341,302,3,0
YDR300C,62,55,0,0
YDR303C,113,105,1,0
YDR304C,350,302,0,0
YDR305C,44,43,NA,0
YDR306C,60,52,3,0
YDR308C,93,75,1,0
YDR309C,428,397,3,0
YDR310C,117,112,1,0
YDR313C,42,39,0,0
YDR314C,13,8,2,0
YDR315C,9,9,0,0
YDR319C,45,31,6,0
YDR320C,216,213,0,0
