Geneid,xrn1_2
YBL007C,15914
YBL006C,4782
YBL006W-A,43
YBL005W,4755
YBL005W-B,17336
YBL005W-A,8633
YBL004W,29324
YBL003C,4177
YBL002W,10617
YBL001C,1695
YBR001C,4775
YBR002C,5928
YBR003W,6523
YBR004C,6052
YBR005W,2844
YBR006W,2397
YBR007C,6977
YBR008C,5388
YBR009C,8984
YBR010W,5455
YBR011C,12408
YBR012C,1
YBR012W-A,2358
YBR013C,1
YBR014C,3162
YBR015C,13228
YBR016W,4251
YBR017C,16004
YBR018C,352
YBR019C,315
YBR020W,1073
YBR021W,8194
YBR022W,1721
YBR023C,19231
YBR024W,1316
YBR025C,12977
YBR026C,3752
YBR027C,281
YBR028C,7273
YBR029C,8888
YBR030W,6421
YBR031W,10662
YBR032W,6
YBR033W,890
YBR034C,8915
YBR035C,3071
YBR036C,10608
YBR037C,3586
YBR038W,9162
YBR039W,6892
YBR040W,395
YBR041W,7995
YBR042C,3629
YBR043C,11953
YBR044C,5027
YBR045C,1252
YBR046C,1573
YBR047W,434
YBR048W,11677
YBR049C,8518
YBR050C,401
YBR051W,31
YBR052C,2451
YBR053C,3463
YBR054W,5784
YBR055C,8450
YBR056W,3712
YBR056W-A,1086
YBR056C-B,74
YBR057C,5044
YBR058C,8057
YBR058C-A,1689
YBR059C,11004
YBR060C,5206
YBR061C,4339
YBR062C,1375
YBR063C,3132
YBR064W,8
YBR065C,4590
YBR066C,2803
YBR067C,7119
YBR068C,32305
YBR069C,14024
YBR070C,2003
YBR071W,8835
YBR072W,670
YBR072C-A,31
YBR073W,10972
YBR074W,14352
YBR076W,54
YBR076C-A,1824
YBR077C,4019
YBR079C,18277
YBR080C,9690
YBR081C,10476
YBR082C,10471
YBR083W,9687
YBR084W,15938
YBR084C-A,13646
YBR085W,518
YBR085C-A,3628
YBR086C,25705
YBR087W,4111
YBR088C,5150
YBR089W,14
YBR089C-A,3806
YBR090C,3445
YBR091C,1348
YBR092C,13998
YBR093C,3877
YBR094W,7120
YBR095C,4196
YBR096W,4537
YBR097W,7651
YBR098W,3317
YBR099C,325
YBR101C,6550
YBR102C,5396
YBR103W,3893
YBR103C-A,8
YBR104W,3673
YBR105C,8139
YBR106W,6269
YBR107C,1953
YBR108W,4625
YBR109C,4143
YBR109W-A,363
YBR110W,6743
YBR111C,2814
YBR111W-A,1244
YBR112C,15878
YBR113W,97
YBR114W,4513
YBR115C,18806
YBR116C,177
YBR117C,517
YBR118W,42917
YBR119W,2613
YBR120C,1614
YBR121C,15158
YBR121C-A,1186
YBR122C,4280
YBR123C,3864
YBR124W,30
YBR125C,6580
YBR126C,12333
YBR126W-A,1871
YBR126W-B,1831
YBR127C,15954
YBR128C,993
YBR129C,4026
YBR130C,5441
YBR131W,5060
YBR131C-A,1
YBR132C,4437
YBR133C,14037
YBR134W,50
YBR135W,3898
YBR136W,9527
YBR137W,1828
YBR138C,4896
YBR139W,9963
YBR141C,2103
YBR141W-A,245
YBR142W,8142
YBR143C,13053
YBR144C,16
YBR145W,3109
YBR146W,5872
YBR147W,767
YBR148W,480
YBR149W,5613
YBR150C,5872
YBR151W,6586
YBR152W,2535
YBR153W,3737
YBR154C,5587
YBR155W,2938
YBR156C,4707
YBR157C,2832
YBR158W,21896
YBR159W,4873
YBR160W,6100
YBR161W,4384
YBR162C,14756
YBR162W-A,2978
YBR163W,5579
YBR164C,2783
YBR165W,5943
YBR166C,5954
YBR167C,1785
YBR168W,4387
YBR169C,2973
YBR170C,6500
YBR171W,4065
YBR172C,16651
YBR173C,6217
YBR174C,61
YBR175W,5918
YBR176W,2356
YBR177C,7017
YBR178W,27
YBR179C,6053
YBR180W,136
YBR181C,6384
YBR182C,2600
YBR182C-A,58
YBR183W,3577
YBR184W,1744
YBR185C,3385
YBR186W,153
YBR187W,6145
YBR188C,1488
YBR189W,13040
YBR190W,914
YBR191W,10780
YBR191W-A,661
YBR192W,3648
YBR193C,2791
YBR194W,1174
YBR195C,3733
YBR196C,26533
YBR196C-A,133
YBR196C-B,247
YBR197C,3556
YBR198C,6842
YBR199W,8887
YBR200W,5490
YBR200W-A,1
YBR201W,1977
YBR201C-A,837
YBR202W,12693
YBR203W,7568
YBR204C,2320
YBR205W,5399
YBR206W,1861
YBR207W,8822
YBR208C,16262
YBR209W,31
YBR210W,2151
YBR211C,4250
YBR212W,10471
YBR213W,1596
YBR214W,7461
YBR215W,4680
YBR216C,7279
YBR217W,2239
YBR218C,17005
YBR219C,1237
YBR220C,5516
YBR221C,9749
YBR221W-A,3
YBR222C,7734
YBR223C,4404
YBR223W-A,0
YBR224W,815
YBR225W,9268
YBR226C,79
YBR227C,3587
YBR228W,2727
YBR229C,8684
YBR230C,3593
YBR230W-A,573
YBR231C,1141
YBR232C,22
YBR233W,4821
YBR233W-A,1793
YBR234C,7002
YBR235W,5505
YBR236C,3536
YBR237W,4914
YBR238C,14899
YBR239C,8122
YBR240C,1373
YBR241C,2584
YBR242W,3931
YBR243C,3793
YBR244W,2025
YBR245C,10444
YBR246W,8347
YBR247C,6602
YBR248C,6829
YBR249C,12685
YBR250W,913
YBR251W,3511
YBR252W,2948
YBR253W,2449
YBR254C,3060
YBR255W,3531
YBR255C-A,1433
YBR256C,4126
YBR257W,2700
YBR258C,1643
YBR259W,5030
YBR260C,5598
YBR261C,2994
YBR262C,3414
YBR263W,9874
YBR264C,1529
YBR265W,5705
YBR267W,6273
YBR266C,11
YBR268W,2561
YBR269C,1987
YBR270C,3581
YBR271W,2842
YBR272C,3705
YBR273C,3556
YBR274W,3932
YBR275C,11096
YBR276C,5259
YBR277C,74
YBR278W,1959
YBR279W,7452
YBR280C,3102
YBR281C,6253
YBR282W,1867
YBR283C,15066
YBR284W,2175
YBR285W,89
YBR286W,18696
YBR287W,12365
YBR288C,3863
YBR289W,7658
YBR290W,3904
YBR291C,3448
YBR292C,550
YBR293W,6983
YBR294W,357
YBR295W,11978
YBR296C,1009
YBR296C-A,14
YBR297W,2849
YBR298C,7262
YBR298C-A,11
