Geneid,dcp2_2
YDL099W,1238
YDL098C,529
YDL097C,3135
YDL096C,16
YDL095W,8150
YDL094C,111
YDL093W,2564
YDL092W,1958
YDL091C,1281
YDL090C,1052
YDL089W,762
YDL088C,3142
YDL087C,811
YDL086W,5116
YDL086C-A,102
YDL085C-A,510
YDL085W,238
YDL084W,6465
YDL083C,6338
YDL082W,5416
YDL081C,6933
YDL080C,2090
YDL079C,598
YDL078C,2806
YDL077C,2227
YDL076C,1637
YDL075W,5137
YDL074C,2627
YDL073W,2556
YDL072C,5026
YDL071C,94
YDL070W,2322
YDL069C,339
YDL068W,19
YDL067C,3634
YDL066W,3914
YDL065C,1151
YDL064W,1167
YDL063C,2253
YDL062W,18
YDL061C,3480
YDL060W,3659
YDL059C,377
YDL058W,2519
YDL057W,490
YDL056W,2490
YDL055C,13343
YDL054C,2253
YDL053C,1541
YDL052C,3930
YDL051W,3059
YDL050C,0
YDL049C,354
YDL048C,5152
YDL047W,3165
YDL046W,6532
YDL045W-A,1213
YDL045C,1418
YDL044C,957
YDL043C,862
YDL042C,1529
YDL041W,38
YDL040C,5085
YDL039C,2074
YDL037C,466
YDL036C,964
YDL035C,2124
YDL034W,7
YDL032W,54
YDL031W,3195
YDL030W,1059
YDL029W,3955
YDL028C,1586
YDL027C,1793
YDL026W,32
YDL025C,2642
YDL025W-A,35
YDL024C,173
YDL022C-A,19
YDL023C,59
YDL022W,7587
YDL021W,278
YDL020C,5485
YDL019C,3853
YDL018C,1398
YDL017W,783
YDL016C,525
YDL015C,5706
YDL014W,11049
YDL013W,1394
YDL012C,3347
YDL011C,5
YDL010W,1181
YDL009C,46
YDL008W,903
YDL007C-A,4
