trx,cds,utr5,utr3,
YCL063W,242,214,2,13
YCL058W-A,66,52,2,7
YCL057W,959,908,0,30
YCL055W,121,104,4,7
YCL054W,439,429,0,1
YCL051W,305,235,56,3
YCL048W,16,16,NA,0
YCL040W,3938,3483,NA,319
YCL039W,379,368,0,3
YCL036W,266,246,NA,13
YCL034W,415,357,2,15
YCL032W,150,134,3,5
YCL028W,757,669,10,32
YCL027W,24,20,0,1
YCL024W,374,360,2,NA
YCL021W-A,17,15,1,1
YCL018W,516,448,3,20
YCL014W,497,459,21,3
YCL005W-A,393,244,21,55
YCL005W,196,167,1,11
YCL004W,200,173,8,4
YCL001W,361,275,3,35
YCR003W,278,216,0,35
YCR008W,593,377,159,46
YCR012W,28772,24247,269,2508
YCR016W,121,88,0,11
YCR019W,183,143,23,5
YCR020W-B,207,45,4,123
YCR032W,304,297,NA,2
YCR033W,203,189,NA,13
YCR034W,1227,1041,6,92
YCR036W,688,607,NA,26
YCR045W-A,215,40,84,79
YCR048W,247,217,4,20
YCR051W,407,286,0,89
YCR052W,551,425,11,71
YCR053W,3454,3197,66,55
YCR061W,357,298,2,39
YCR063W,221,103,0,96
YCR065W,606,459,38,75
YCR066W,99,82,2,7
YCR068W,234,205,21,0
YCR069W,363,272,37,24
YCR073W-A,413,365,0,13
YCR075W-A,80,50,0,12
YCR079W,124,113,1,4
YCR081W,226,220,0,NA
YCR082W,463,344,11,33
YCR083W,188,143,0,23
YCR085W,2,0,2,NA
YCR086W,105,94,3,NA
YCR088W,1504,1331,35,66
YCR089W,449,447,NA,2
YCR091W,118,106,4,3
YCR093W,1526,1489,2,9
YCR094W,415,330,20,43
YCR095W-A,226,10,22,188
YCR097W,0,0,0,0
YCR105W,12,12,NA,0
YCR106W,303,295,1,NA
YCR107W,168,116,NA,41
YDL243C,105,66,29,7
YDL239C,21,18,NA,1
YDL238C,93,87,2,1
YDL235C,231,126,44,32
YDL234C,196,169,14,6
YDL231C,348,342,NA,0
YDL227C,128,121,NA,1
YDL226C,426,355,1,35
YDL224C,467,327,85,24
YDL222C,69,68,NA,NA
YDL220C,136,121,NA,13
YDL217C,150,113,28,1
YDL216C,43,36,NA,4
YDL215C,547,533,NA,9
YDL214C,15,14,0,1
YDL213C,137,124,0,7
YDL211C,53,45,3,1
YDL209C,62,50,0,7
YDL205C,160,108,26,17
YDL203C,259,213,26,13
YDL200C,30,27,NA,0
YDL199C,40,40,0,0
YDL198C,330,283,1,27
YDL197C,149,134,0,8
YDL190C,428,364,36,13
YDL188C,319,271,22,17
YDL187C,56,9,43,NA
YDL184C,2424,236,41,1635
YDL183C,40,32,2,3
YDL177C,26,18,1,5
YDL175C,102,83,0,12
YDL174C,879,852,4,NA
YDL171C,1499,1421,62,NA
YDL169C,21,15,NA,4
YDL167C,240,222,2,8
YDL166C,103,73,2,11
YDL164C,211,182,2,13
YDL160C-A,50,13,2,30
YDL160C,1576,1072,195,267
YDL157C,128,81,0,17
YDL153C,109,93,3,10
YDL148C,177,172,0,NA
YDL145C,1405,1266,87,29
YDL144C,135,118,0,13
YDL142C,76,65,0,3
YDL140C,1226,1205,NA,13
YDL139C,25,19,NA,5
YDL135C,158,105,6,33
YDL134C,428,314,84,12
YDL133C-A,2875,236,0,2018
YDL126C,2372,2247,29,14
YDL125C,649,495,NA,108
YDL121C,136,96,0,16
YDL119C,111,86,1,20
YDL115C,66,56,0,5
YDL113C,110,97,4,4
YDL111C,281,243,8,9
YDL110C,206,125,13,51
YDL109C,144,112,NA,26
YDL106C,135,117,5,8
YDL104C,34,30,0,2
YDL103C,279,244,6,9
YDL101C,122,109,0,7
YDL100C,723,616,24,35
YDL098C,30,20,0,8
YDL097C,638,564,12,31
YDL094C,9,4,2,2
YDL091C,74,65,1,4
YDL090C,70,60,0,5
YDL088C,218,190,16,8
YDL087C,66,45,0,14
YDL086C-A,9,5,2,2
YDL085C-A,52,20,7,15
YDL083C,2749,1900,0,465
YDL081C,2418,1173,279,480
YDL080C,162,141,NA,12
YDL079C,20,20,NA,0
YDL078C,435,364,9,23
YDL077C,146,143,NA,0
YDL076C,118,83,13,15
YDL074C,197,160,9,15
YDL072C,752,563,37,79
YDL069C,36,24,4,4
YDL067C,390,125,29,133
YDL065C,49,45,0,1
YDL063C,229,201,15,6
YDL061C,1387,543,0,503
YDL059C,19,16,1,NA
YDL055C,4074,3112,518,237
YDL054C,154,142,4,4
YDL053C,188,122,44,7
YDL052C,248,212,3,12
YDL049C,34,30,2,1
YDL048C,56,52,0,3
YDL045C,87,71,3,10
YDL044C,39,32,0,1
YDL043C,60,37,3,16
YDL042C,131,117,4,4
YDL040C,680,639,3,17
YDL039C,29,25,NA,3
YDL036C,70,60,NA,9
YDL035C,97,92,NA,1
YDL033C,82,66,1,9
YDL028C,103,87,6,7
YDL027C,119,102,3,6
YDL025C,165,143,14,5
YDL024C,22,19,NA,2
YDL020C,405,310,59,13
YDL019C,282,278,NA,2
YDL018C,125,94,9,8
YDL015C,529,479,19,NA
YDL012C,150,86,0,32
YDL009C,17,1,16,NA
YDL005C,150,114,0,28
YDL002C,85,47,12,17
YDR001C,761,716,NA,21
YDR005C,149,111,10,20
YDR006C,270,240,13,4
YDR008C,41,8,NA,30
YDR010C,6,2,4,0
YDR016C,92,55,0,16
YDR017C,200,195,NA,3
YDR018C,38,33,NA,4
YDR019C,386,345,NA,26
YDR020C,78,45,NA,30
YDR022C,57,50,0,3
YDR026C,107,83,9,2
YDR027C,101,92,7,1
YDR028C,382,344,NA,36
YDR030C,42,34,0,6
YDR032C,689,457,63,102
YDR034C,174,158,9,0
YDR036C,192,185,0,4
YDR038C,1052,1038,NA,9
YDR042C,3,2,NA,1
YDR045C,114,58,20,26
YDR046C,901,809,26,21
YDR048C,9,1,7,1
YDR050C,7337,6244,125,358
YDR051C,110,88,10,4
YDR052C,149,114,17,16
YDR054C,303,200,52,39
YDR056C,136,100,10,11
YDR058C,45,36,0,4
YDR059C,140,94,5,23
YDR066C,30,18,2,4
YDR067C,76,56,4,7
YDR069C,138,122,NA,13
YDR070C,21,3,3,14
YDR071C,459,333,30,29
YDR072C,364,314,27,13
YDR078C,45,39,0,4
YDR079C-A,51,27,2,14
YDR081C,112,108,2,1
YDR084C,134,100,0,18
YDR085C,125,118,NA,1
YDR086C,544,217,87,186
YDR087C,230,189,7,13
YDR088C,45,25,5,14
YDR090C,124,89,6,18
YDR091C,916,756,31,96
YDR097C,171,161,4,1
YDR098C,341,325,NA,10
YDR101C,594,559,1,9
YDR104C,49,48,NA,0
YDR105C,184,167,7,2
YDR107C,76,69,0,4
YDR109C,111,104,NA,3
YDR111C,242,195,29,9
YDR113C,79,74,0,4
YDR116C,221,184,1,16
YDR117C,108,101,0,0
YDR120C,309,294,NA,12
YDR123C,155,89,2,52
YDR125C,63,29,NA,34
YDR129C,1135,1004,22,65
YDR130C,61,49,0,11
YDR131C,73,65,6,2
YDR132C,45,37,3,1
YDR133C,1601,657,570,207
YDR135C,924,908,NA,13
YDR139C,77,41,2,21
YDR141C,504,496,NA,NA
YDR142C,91,78,7,2
YDR143C,309,252,23,22
YDR144C,259,227,14,7
YDR146C,219,212,NA,5
YDR148C,563,475,2,59
YDR151C,143,117,7,10
YDR153C,213,166,24,15
YDR162C,96,50,17,19
YDR164C,198,180,1,9
YDR166C,141,137,NA,1
YDR169C,219,155,36,25
YDR170C,1011,994,NA,12
YDR173C,52,41,6,NA
YDR175C,180,147,5,18
YDR179C,13,12,0,0
YDR181C,73,64,0,7
YDR185C,33,24,4,5
YDR186C,291,263,5,12
YDR190C,464,400,9,34
YDR192C,124,104,5,4
YDR194C,447,398,6,18
YDR196C,84,78,NA,2
YDR198C,64,61,1,0
YDR200C,61,57,2,0
YDR202C,88,76,2,2
YDR207C,111,105,2,NA
YDR215C,18,2,0,16
YDR217C,81,77,1,NA
YDR218C,6,6,NA,0
YDR219C,85,67,NA,15
YDR224C,1589,1180,48,129
YDR228C,138,117,11,1
YDR231C,127,96,0,22
YDR233C,1310,1047,51,126
YDR236C,119,95,1,9
YDR238C,1168,1077,7,33
YDR239C,100,93,0,5
YDR240C,47,45,0,0
YDR243C,117,71,0,42
YDR248C,73,53,8,4
YDR249C,85,74,3,3
YDR253C,5,3,2,0
YDR255C,74,51,1,21
YDR256C,8,8,NA,0
YDR257C,182,153,0,24
YDR258C,938,889,6,12
YDR259C,27,18,5,1
YDR260C,129,70,0,41
YDR261C,232,201,4,18
YDR263C,33,25,2,1
YDR264C,483,425,12,35
YDR266C,384,312,45,18
YDR267C,105,74,6,15
YDR271C,11,3,NA,7
YDR274C,2,0,NA,0
YDR276C,789,208,61,328
YDR277C,202,154,15,25
YDR281C,0,0,0,0
YDR282C,86,32,0,50
YDR283C,220,213,NA,6
YDR284C,327,223,62,18
YDR286C,38,27,NA,6
YDR289C,74,58,2,4
YDR292C,187,160,16,2
YDR293C,1091,894,176,NA
YDR294C,433,405,6,9
YDR295C,78,70,2,3
YDR298C,578,358,80,81
YDR300C,177,163,1,6
YDR303C,199,165,25,3
YDR304C,463,374,9,26
YDR305C,71,61,NA,4
YDR306C,108,98,2,3
YDR308C,80,54,9,8
YDR309C,413,375,19,1
YDR310C,212,178,19,8
YDR313C,88,71,0,11
YDR314C,55,53,0,1
YDR315C,24,21,0,1
YDR319C,109,83,12,3
YDR320C,252,230,0,10
YDR320C-A,91,50,NA,26
YDR322C-A,272,129,0,113
YDR323C,34,27,2,3
YDR324C,337,316,NA,17
YDR326C,246,236,NA,7
YDR328C,453,299,25,81
YDR329C,110,95,5,1
YDR333C,251,222,2,16
YDR338C,81,76,0,3
YDR339C,184,148,0,23
YDR341C,1128,1017,0,50
YDR342C,5486,4807,200,246
YDR343C,5167,4675,150,120
YDR345C,2813,2607,31,100
YDR346C,435,357,19,46
YDR348C,205,161,31,7
YDR349C,589,540,9,23
YDR350C,184,172,0,3
YDR357C,82,62,4,5
YDR359C,232,180,34,7
YDR361C,226,167,7,40
YDR362C,71,63,6,0
YDR364C,115,93,0,16
YDR365C,225,200,11,5
YDR366C,428,421,0,NA
YDR369C,49,45,NA,3
YDR370C,118,107,0,3
YDR372C,321,215,67,20
YDR375C,164,154,0,5
YDR378C,177,69,0,62
YDR379C-A,52,31,0,15
YDR381C-A,60,35,NA,18
YDR383C,31,27,0,0
YDR384C,352,277,5,41
YDR387C,121,109,4,6
YDR390C,198,191,1,2
YDR391C,226,200,0,7
YDR397C,177,116,16,22
YDR402C,9,8,NA,1
YDR404C,289,164,62,52
YDR407C,257,235,7,3
YDR408C,202,164,2,14
YDR410C,69,66,0,0
YDR411C,312,277,5,16
YDR414C,77,56,6,9
YDR415C,123,106,4,6
YDR422C,197,169,2,16
YDR423C,131,126,NA,2
YDR424C,68,42,2,5
YDR426C,15,2,NA,1
YDR428C,62,48,1,9
YDR429C,697,565,0,56
YDR430C,370,347,9,3
YDR435C,101,87,0,8
YDR441C,137,66,23,28
YDR443C,215,184,NA,29
YDR445C,1237,1237,NA,0
YDR447C,3637,2756,26,364
YDR449C,168,142,6,8
YDR451C,277,234,7,25
YDR453C,57,44,2,9
YDR454C,439,349,0,61
YDR458C,132,117,0,7
YDR459C,124,101,11,5
YDR461C-A,31,18,0,5
YDR465C,236,194,6,14
YDR468C,110,80,12,11
YDR470C,132,113,6,4
YDR473C,49,43,1,2
YDR475C,113,100,2,3
YDR476C,234,170,0,44
YDR479C,197,180,8,4
