GeneID,xrn1.2
YDR306C,460
YDR307W,377
YDR308C,469
YDR309C,807
YDR310C,170
YDR311W,396
YDR312W,502
YDR313C,84
YDR314C,313
YDR315C,689
YDR316W,671
YDR316W-A,156
YDR317W,73
YDR318W,326
YDR319C,1254
YDR320C,424
YDR320C-A,934
YDR320W-B,188
YDR321W,1786
YDR322C-A,4640
YDR322W,794
YDR323C,134
YDR324C,777
YDR325W,391
YDR326C,574
YDR328C,2947
YDR329C,354
YDR330W,261
YDR331W,654
YDR332W,85
YDR333C,909
YDR334W,410
YDR335W,1146
YDR336W,227
YDR337W,1501
YDR338C,333
YDR339C,3307
YDR341C,3357
YDR342C,287
YDR344C,154
YDR345C,481
YDR346C,1625
YDR347W,1661
YDR348C,540
YDR349C,1920
YDR350C,938
YDR351W,602
YDR352W,1113
YDR353W,4640
YDR354W,2422
YDR356W,313
YDR357C,670
YDR358W,194
YDR359C,359
YDR361C,1112
YDR362C,191
YDR363W,302
YDR363W-A,3702
YDR364C,740
YDR365C,854
YDR367W,2853
YDR368W,1547
YDR369C,211
YDR370C,497
YDR371W,366
YDR372C,2332
YDR373W,3222
YDR374W-A,494
YDR375C,726
YDR376W,342
YDR377W,13168
YDR378C,2338
YDR379C-A,771
YDR379W,165
YDR380W,587
YDR381C-A,1048
YDR381W,6139
YDR382W,34816
YDR383C,264
YDR384C,802
YDR385W,16110
YDR386W,63
YDR387C,256
YDR388W,1568
YDR389W,964
YDR390C,515
YDR391C,2056
YDR392W,343
YDR393W,492
YDR394W,1140
YDR395W,1103
YDR397C,3112
YDR398W,1093
YDR399W,14282
YDR400W,1106
YDR404C,5602
YDR405W,304
YDR406W,0
YDR407C,841
YDR408C,3681
YDR409W,92
YDR410C,1549
YDR411C,615
YDR412W,1395
YDR414C,701
YDR415C,38
YDR416W,296
YDR418W,71788
YDR419W,152
YDR420W,474
YDR421W,174
YDR422C,1095
YDR423C,353
YDR424C,913
YDR425W,193
YDR427W,1684
YDR428C,621
YDR429C,2680
YDR430C,648
YDR432W,957
YDR434W,805
YDR435C,988
YDR436W,209
YDR437W,512
YDR438W,105
YDR439W,341
YDR440W,369
YDR441C,3106
YDR443C,301
YDR444W,476
YDR445C,119
YDR446W,0
YDR447C,33181
YDR448W,249
YDR449C,1422
YDR450W,23778
YDR451C,687
YDR452W,1480
YDR453C,87
YDR454C,8142
YDR456W,1899
YDR457W,649
YDR458C,783
YDR459C,478
YDR460W,247
YDR461C-A,118
YDR461W,1585
YDR462W,1384
YDR463W,815
YDR464W,0
YDR465C,883
YDR466W,186
YDR468C,923
YDR469W,1336
YDR470C,552
YDR471W,47284
YDR472W,1731
YDR473C,244
YDR475C,198
YDR476C,1173
YDR477W,677
YDR478W,399
YDR479C,315
YDR480W,280
YDR481C,987
YDR482C,339
YDR483W,4602
YDR484W,312
YDR485C,309
YDR486C,918
YDR487C,6702
YDR488C,203
YDR489W,914
YDR490C,467
YDR492W,1563
YDR493W,1173
YDR494W,1227
YDR495C,69
YDR496C,612
YDR497C,15843
YDR498C,267
YDR499W,426
YDR500C,9347
YDR501W,29
YDR502C,1026
YDR503C,590
YDR505C,732
YDR506C,82
YDR507C,671
YDR508C,1539
YDR510C-A,0
YDR510W,5526
YDR511W,1285
YDR513W,2587
YDR514C,262
YDR515W,184
YDR516C,1341
YDR517W,1829
YDR518W,823
YDR519W,4126
YDR520C,64
YDR524C,1964
YDR524C-A,0
YDR524C-B,84674
YDR525W-A,7324
YDR527W,283
YDR528W,967
YDR529C,8848
YDR530C,464
YDR531W,851
YDR532C,653
YDR533C,324
YDR534C,0
YDR536W,34
YDR538W,1873
YDR539W,265
YDR540C,157
YDR541C,823
YEL001C,4379
YEL002C,3653
YEL003W,2781
YEL004W,755
YEL005C,402
YEL006W,720
YEL007W,1684
YEL008C-A,165
YEL009C,32951
YEL009C-A,35
