set	n_members	p_value	p.adjust	s.PC1	s.PC2
small ribosomal subunit (GO:0015935)	18	1.151405393980727e-6	1.89159457582548e-5	0.6747826086956479	-0.4789613526570059
gluconeogenesis (GO:0006094)	15	1.2789660334572598e-6	2.066999617865267e-5	0.12819175899775323	0.650923310884207
vacuole (GO:0005773)	40	1.2821388934004845e-6	2.066999617865267e-5	-0.4728265618173852	0.24726955002184473
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	34	1.5498526250346224e-6	2.475459053874744e-5	-0.45227646032234486	0.40382147623447184
ATP biosynthetic process (GO:0006754)	13	1.7435514168536117e-6	2.7592900863050277e-5	-0.338378017205381	0.8248058130794276
mRNA processing (GO:0006397)	174	1.8702767032276537e-6	2.9329339209706388e-5	0.2038108983312131	-0.17707460401212688
glycolytic process through glucose-6-phosphate (GO:0061620)	12	1.99535261479809e-6	3.100885820294329e-5	0.1328339846576947	0.7199667100882896
cytoplasm (GO:0005737)	2077	2.42259508491441e-6	3.731229037033354e-5	0.02748852379000627	0.0644030106541594
protein kinase activity (GO:0004672)	117	2.4945304112865435e-6	3.808022088025918e-5	-0.26364321698691695	0.17504752030412946
carbohydrate metabolic process (GO:0005975)	55	2.7187829315336203e-6	4.1139478569258726e-5	-0.3502042117426766	0.3097364174287258
kinase activity (GO:0016301)	185	3.019244846697471e-6	4.528867270046207e-5	-0.147699379957444	0.2063162643807789
proton-transporting ATPase activity, rotational mechanism (GO:0046961)	18	3.166051937148627e-6	4.708137578949467e-5	-0.10942028985507399	0.6638888888888876
tRNA modification (GO:0006400)	23	3.3559576555127768e-6	4.947886286973965e-5	0.6042579363201933	-0.274845058428349
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	21	3.3891137731576673e-6	4.954424795505912e-5	0.5676476376933176	-0.4841563338409098
allantoin catabolic process (GO:0000256)	5	3.838823366059241e-6	5.5646809297917576e-5	-0.872967699978326	-0.5194450466074133
autophagy of mitochondrion (GO:0000422)	29	3.912029309935774e-6	5.6235421330326754e-5	-0.5247405715316243	0.3108858514739131
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)	18	5.2942391746502664e-6	7.547572377084057e-5	0.6666425120772917	-0.34024154589372096
protein serine kinase activity (GO:0106310)	108	7.196119198608911e-6	1.0174840670164238e-4	-0.2614519175494767	0.1776751252361018
aromatic amino acid family biosynthetic process (GO:0009073)	14	7.98028428446716e-6	1.1191862106264919e-4	0.2626597989326031	0.5367382400397176
asparagine metabolic process (GO:0006528)	5	8.263388716231858e-6	1.1495439947983835e-4	-0.8877953609364865	-0.4492954693258173
glycolytic process (GO:0006096)	18	8.75473707918897e-6	1.208153716928078e-4	0.10152173913043239	0.554589371980677
chromatin remodeling (GO:0006338)	117	8.86725816504648e-6	1.2139698678337441e-4	0.1302483588642221	-0.25891872081607736
cellular respiration (GO:0045333)	12	9.799424584101004e-6	1.3310242053208058e-4	-0.7209798813142297	0.6079027355623098
threonine metabolic process (GO:0006566)	11	1.0131482166733174e-5	1.3547912199701338e-4	0.44756003709769393	0.46689819839374974
endosome membrane (GO:0010008)	70	1.0077162530198756e-5	1.3547912199701338e-4	-0.3294446538509874	0.1778929513758018
ubiquitin-protein transferase activity (GO:0004842)	62	1.0432657235499367e-5	1.3843333639412624e-4	-0.281146449913618	0.3085403155002969
protein serine/threonine kinase activity (GO:0004674)	111	1.0885809340558526e-5	1.4334367261422486e-4	-0.2536374848334046	0.1717228655324967
mRNA transport (GO:0051028)	66	1.3133281037919317e-5	1.7058695392279888e-4	0.33805986046759223	-0.11115992970122915
nuclear exosome (RNase complex) (GO:0000176)	12	1.3152501374917246e-5	1.7058695392279888e-4	0.7700825010855449	-0.4718483137936024
phagophore assembly site membrane (GO:0034045)	21	1.3431504161288994e-5	1.729055573001755e-4	-0.5860861638542728	0.12767125558076306
eisosome assembly (GO:0070941)	11	1.3676072827340849e-5	1.7474981946046642e-4	-0.6804467509915724	-0.15369891666831023
eukaryotic 48S preinitiation complex (GO:0033290)	11	1.4346507342168444e-5	1.8196856739147475e-4	0.8141957890167156	-0.4319316455196641
cytosolic ribosome (GO:0022626)	28	1.6772090647205113e-5	2.111814333315972e-4	0.47914721444133607	-0.024416433239963342
exosome (RNase complex) (GO:0000178)	12	1.7315455091496788e-5	2.1644318864370984e-4	0.7602764510059294	-0.46728904327688603
quinol-cytochrome-c reductase activity (GO:0008121)	9	1.8870017120894214e-5	2.325055680967323e-4	-0.4800028928907238	0.8873701212603363
respiratory chain complex III (GO:0045275)	9	1.8870017120894214e-5	2.325055680967323e-4	-0.4800028928907238	0.8873701212603363
ATP-dependent activity, acting on RNA (GO:0008186)	13	1.922569432856883e-5	2.3520796253036333e-4	0.7311283721707159	-0.4315209220746695
branched-chain amino acid biosynthetic process (GO:0009082)	12	2.421827644393149e-5	2.9420089342099874e-4	0.3309089593284121	0.5034375452308576
aerobic respiration (GO:0009060)	46	2.680073105267474e-5	3.2105042406849947e-4	-0.3118319449199317	0.34286203355015427
aldose reductase (NADPH) activity (GO:0004032)	6	2.6640128589075175e-5	3.2105042406849947e-4	-0.9416016189650148	-0.11087019369759887
cytochrome-c oxidase activity (GO:0004129)	11	2.7243511172669206e-5	3.236063495457701e-4	-0.5288592458117071	0.7598516092112781
multi-eIF complex (GO:0043614)	10	2.7389291034018802e-5	3.236063495457701e-4	0.8259982638888915	-0.4551649305555544
proteolysis (GO:0006508)	95	2.8943503460920435e-5	3.396431528577398e-4	-0.2715407798736295	0.137959202671723
glutathione metabolic process (GO:0006749)	17	3.4507760157484864e-5	4.0220193426798235e-4	-0.6315890407456178	0.3167214288453913
maturation of 5.8S rRNA (GO:0000460)	8	3.578184412872949e-5	4.1425289343663337e-4	0.8449023861171359	-0.6804229934924065
respiratory chain complex IV (GO:0045277)	12	3.766065558567722e-5	4.33097539235288e-4	-0.5151251990157735	0.7091113040961078
phagophore assembly site (GO:0000407)	34	3.824182748487278e-5	4.368685590159308e-4	-0.44656606097936263	0.14716148239400506
preribosome, small subunit precursor (GO:0030688)	10	3.90212516059331e-5	4.4283986197522757e-4	0.7668402777777821	-0.5805555555555544
cytoplasmic translational initiation (GO:0002183)	11	4.246993613388979e-5	4.7882771131346335e-4	0.7763482447658732	-0.22927560826410373
rDNA heterochromatin (GO:0033553)	10	4.4244798497222524e-5	4.955992039461614e-4	0.711371527777782	-0.6544704861111096
endocytosis (GO:0006897)	102	4.605929934465975e-5	5.106202592101676e-4	-0.258028100522762	0.09619392486844139
nucleophagy (GO:0044804)	19	4.617783213726733e-5	5.106202592101676e-4	-0.5212689257390027	-0.049678992000550565
lipid binding (GO:0008289)	42	5.177113067800625e-5	5.688229326086673e-4	-0.39521936396936397	0.19542957042956985
eukaryotic 43S preinitiation complex (GO:0016282)	10	5.8782971936645574e-5	6.417761176627444e-4	0.8060763888888913	-0.33368055555555437
proteasome complex (GO:0000502)	40	6.159311852466775e-5	6.682272292770558e-4	-0.3398099606815208	0.3352992573176066
reticulophagy (GO:0061709)	25	6.198266025466434e-5	6.682505558705999e-4	-0.5091661223601114	0.21482255606357495
nuclear-transcribed mRNA catabolic process (GO:0000956)	25	6.384636299860046e-5	6.840681749850048e-4	0.46957544088830827	-0.3668451992161975
pseudouridine synthesis (GO:0001522)	13	6.502922069109435e-5	6.924407758773936e-4	0.6546229015284428	-0.49843815250981366
translational termination (GO:0006415)	16	6.637103123794919e-5	7.023928152482354e-4	0.6026727509778355	-0.4209311169056926
preribosome (GO:0030684)	5	6.744256639834265e-5	7.093806526654944e-4	0.9824842835465017	-0.9074788640797743
glycogen biosynthetic process (GO:0005978)	10	6.990996499266332e-5	7.276500765362312e-4	-0.7970486111111086	0.3698784722222214
lipid metabolic process (GO:0006629)	153	7.002313780000833e-5	7.276500765362312e-4	-0.17434805202409132	0.1728783786750991
negative regulation of gluconeogenesis (GO:0045721)	10	7.566132373466309e-5	7.81531637379005e-4	-0.7635416666666643	0.5107638888888905
cellular oxidant detoxification (GO:0098869)	22	7.759065552562298e-5	7.919756259272168e-4	-0.5328546562228006	0.26997784634860306
poly(A)-dependent snoRNA 3'-end processing (GO:0071051)	10	7.72516878677581e-5	7.919756259272168e-4	0.7824652777777819	-0.4410590277777785
protein-macromolecule adaptor activity (GO:0030674)	87	8.317668010135867e-5	8.439986657343747e-4	-0.26410906222015734	0.16005956412656488
protein import into mitochondrial matrix (GO:0030150)	24	9.708277228708723e-5	9.793437555276343e-4	0.35586271948918746	-0.4741510666086196
formation of cytoplasmic translation initiation complex (GO:0001732)	9	1.0311172076898128e-4	0.0010341146414330972	0.8159157204503225	-0.43762204382729325
cytoplasm to vacuole targeting by the Cvt pathway (GO:0032258)	43	1.0456170451337635e-4	0.001042595030552452	-0.3781166603126176	0.16659295971533924
RNA modification (GO:0009451)	12	1.129886917766003e-4	0.001120146513302503	0.6416992328846448	-0.5374873353596764
oxidative phosphorylation (GO:0006119)	10	1.247513096806319e-4	0.0012278618697671513	-0.5092881944444456	0.7385416666666663
cell wall-bounded periplasmic space (GO:0030287)	7	1.2527750091537312e-4	0.0012278618697671513	-0.655358304675153	-0.3360597329367667
structural constituent of nuclear pore (GO:0017056)	29	1.2935402853982153e-4	0.001246568152129565	0.4523485696680929	-0.13780329273149436
GID complex (GO:0034657)	7	1.2872491265895772e-4	0.001246568152129565	-0.8902624159618265	0.5822412244012779
nuclear pore (GO:0005643)	48	1.2924296130945026e-4	0.001246568152129565	0.33400802334062835	-0.025501458789204613
chorismate metabolic process (GO:0046417)	28	1.3080382735946601e-4	0.0012535366788615494	0.08929349517584739	0.3801276065981956
maintenance of translational fidelity (GO:1990145)	11	1.33170251201421e-4	0.0012691639962566367	0.6815912544152172	-0.01876590958422842
iron-sulfur cluster binding (GO:0051536)	43	1.3412937992034063e-4	0.0012712812107834484	0.11617740500698792	0.2786071927818015
endoplasmic reticulum (GO:0005783)	493	1.3568097141529735e-4	0.0012789599764556718	-0.0759068166451517	0.11081000676132387
cytoplasmic exosome (RNase complex) (GO:0000177)	10	1.3979494189981663e-4	0.0013105775803107808	0.7520399305555545	-0.4506510416666663
proton transmembrane transporter activity (GO:0015078)	11	1.4767842329703224e-4	0.0013770015145263817	-0.17591806934112356	0.7211358209838786
periplasmic space (GO:0042597)	8	1.7268048622774362e-4	0.0015929082285714318	-0.7588937093275532	-0.046908893709326736
peroxisomal membrane (GO:0005778)	37	1.7220456562377118e-4	0.0015929082285714318	-0.38619562588128253	0.07221956730797674
chromatin binding (GO:0003682)	102	1.8027474807871347e-4	0.001654116704445642	0.2021049340905528	-0.19933482693343216
t-UTP complex (GO:0034455)	5	1.89009786306417e-4	0.0017250893194633297	0.9413830479080905	-0.8412313028398006
regulation of translational fidelity (GO:0006450)	14	1.9983498092502548e-4	0.0018142912741877313	0.6341690455504565	-0.19448926399404157
nuclear polyadenylation-dependent CUT catabolic process (GO:0071039)	10	2.0862042750746456e-4	0.0018841373688501379	0.7477430555555546	-0.3728298611111096
autophagosome assembly (GO:0000045)	23	2.2053304263446432e-4	0.0019813515549190154	-0.48554667171311355	0.2823579505133175
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	13	2.2493936306212017e-4	0.0020104684004256853	-0.445619310114426	0.6206130460202116
tRNA wobble uridine modification (GO:0002098)	28	2.3298328689503418e-4	0.002071629741721309	0.4455493308434518	-0.1414254590725179
protein catabolic process in the vacuole (GO:0007039)	9	2.4078432168985465e-4	0.0021300151534102527	-0.777006340252164	0.4191075432125537
ubiquitin protein ligase binding (GO:0031625)	21	2.5782097583193725e-4	0.002269087669949448	-0.45040761573282856	0.4054300423671735
snRNA pseudouridine synthesis (GO:0031120)	6	2.6124419823804907e-4	0.0022875443754346936	0.9147152356172309	-0.6255420641804009
mitochondrial membrane (GO:0031966)	63	2.677997567852803e-4	0.002333103941689942	-0.2962835188960293	0.10121443381596995
translation initiation factor binding (GO:0031369)	13	2.735516111860073e-4	0.002371238840682727	0.6403240624738973	-0.15840641443247377
formation of translation preinitiation complex (GO:0001731)	11	2.9098341071769534e-4	0.0025097319174401224	0.689168656392445	-0.14908143733843723
protein refolding (GO:0042026)	28	3.260227756022023e-4	0.0027568102348715633	-0.023669467787111903	-0.39159663865546146
pyridoxine biosynthetic process (GO:0008615)	5	3.230472911230247e-4	0.0027568102348715633	-0.7849555603728618	0.9327119011489285
trehalose biosynthetic process (GO:0005992)	7	3.222500389442111e-4	0.0027568102348715633	-0.7817021408433226	-0.04786690212845033
peptidase activity (GO:0008233)	92	3.2570939209223914e-4	0.0027568102348715633	-0.24198351553344438	0.12190916251993282
threonine biosynthetic process (GO:0009088)	9	3.351949338128977e-4	0.00280795461194621	0.3985680190930838	0.4443721221764189
RSC-type complex (GO:0016586)	18	3.3532675365850387e-4	0.00280795461194621	0.3220289855072508	-0.53195652173913
protein targeting to vacuole (GO:0006623)	49	3.432181157229693e-4	0.002860150964358078	-0.32689241159365817	0.17864401177411282
L-isoleucine catabolic process (GO:0006550)	11	3.5074831993700176e-4	0.002908850249477538	-1.7759535884429164e-4	0.6367977583519145
protein import into nucleus (GO:0006606)	55	3.6936815373334904e-4	0.0030486127521053927	0.30409419640188756	-0.061072261072260596
rRNA catabolic process (GO:0016075)	9	3.7143747570881014e-4	0.003051093550465226	0.6958125406812794	-0.5703575130782779
phosphatidylinositol binding (GO:0035091)	32	4.23248603727912e-4	0.003460207779292172	-0.38064217182729954	0.029778129088531665
sporulation resulting in formation of a cellular spore (GO:0030435)	64	4.326248439227507e-4	0.0035201785649374762	-0.2461229139218285	-0.034770256916996096
transcription elongation by RNA polymerase II (GO:0006368)	61	4.922843002270002e-4	0.003986809473669368	0.208905772779767	-0.2683351500303992
peroxisome organization (GO:0007031)	31	5.00687041627159e-4	0.004035911900966585	-0.40523358439348384	0.15072751183217545
