set	setSize	pMANOVA	s.PC1	s.PC2	p.PC1	p.PC2	s.dist	SD	p.adjustMANOVA
rDNA heterochromatin (GO:0033553)	10	4.424479849738006e-5	0.7113715277777778	-0.6544704861111112	9.84970967621905e-5	3.4055812367243127e-4	0.966633885048214	0.965796150050324	2.684992566347858e-4
nucleophagy (GO:0044804)	19	4.6177832137122116e-5	-0.5212689257390051	-0.04967899200054928	8.508331928753455e-5	0.7082575242673945	0.5236308768467411	0.3334644400857767	2.7644296806412296e-4
endocytosis (GO:0006897)	102	4.605929934475608e-5	-0.2580281005227601	0.09619392486844168	7.927284633490263e-6	0.09614874020998562	0.2753756921752154	0.25047279619975216	2.7644296806412296e-4
lipid binding (GO:0008289)	42	5.177113067813078e-5	-0.395219363969364	0.19542957042957043	9.889158430010826e-6	0.02898681130406104	0.44089801842901843	0.41765186681409483	3.078471260457978e-4
eukaryotic 43S preinitiation complex (GO:0016282)	10	5.8782971936836705e-5	0.806076388888889	-0.33368055555555565	1.0160048769856635e-5	0.06792575436852609	0.8724115186539066	0.8059298643211259	3.4721142090691543e-4
reticulophagy (GO:0061709)	25	6.198266025449434e-5	-0.5091661223601133	0.21482255606357495	1.0776360995248647e-5	0.06356497625157627	0.5526290534824618	0.5119373040156766	3.612936643781709e-4
proteasome complex (GO:0000502)	40	6.159311852524416e-5	-0.33980996068152036	0.3352992573176059	2.0887644834174249e-4	2.5345958705709937e-4	0.4773849613635881	0.4773743060887294	3.612936643781709e-4
nuclear-transcribed mRNA catabolic process (GO:0000956)	25	6.384636299842705e-5	0.46957544088830827	-0.3668451992161986	4.946519914055e-5	0.001528448114625153	0.5958829540047454	0.5914387065422896	3.697246903046168e-4
pseudouridine synthesis (GO:0001522)	13	6.502922069100436e-5	0.6546229015284389	-0.49843815250981377	4.408728297279637e-5	0.0018762849467131738	0.8227829209961207	0.8153372904325565	3.741291528066874e-4
translational termination (GO:0006415)	16	6.637103123795143e-5	0.6026727509778357	-0.42093111690569324	3.0326741390839824e-5	0.003593657897823803	0.7351173035309853	0.7237972362292222	3.79385378560161e-4
glycogen biosynthetic process (GO:0005978)	10	6.990996499269535e-5	-0.7970486111111112	0.36987847222222225	1.2758657831373085e-5	0.04300987020275922	0.8786902598114973	0.8251420537752395	3.951624209607679e-4
lipid metabolic process (GO:0006629)	153	7.002313780004578e-5	-0.17434805202409442	0.17287837867509828	2.3824505796811595e-4	2.688972310151312e-4	0.24552836304168002	0.24552616375459996	3.951624209607679e-4
negative regulation of gluconeogenesis (GO:0045721)	10	7.566132373486283e-5	-0.7635416666666667	0.5107638888888888	2.9101900728866623e-5	0.005190546365712125	0.9186270336371624	0.9010700996370239	4.242780558803067e-4
poly(A)-dependent snoRNA 3'-end processing (GO:0071051)	10	7.725168786793747e-5	0.7824652777777777	-0.4410590277777777	1.8340368614828007e-5	0.015810075777362372	0.8982121001813176	0.8651623334048946	4.2965825497476935e-4
cellular oxidant detoxification (GO:0098869)	22	7.759065552591772e-5	-0.5328546562228024	0.2699778463486035	1.5475603744653606e-5	0.02866561584493088	0.5973458982677884	0.5676883067252074	4.2965825497476935e-4
protein-macromolecule adaptor activity (GO:0030674)	87	8.317668010170162e-5	-0.2641090622201589	0.16005956412656616	2.3433626658240697e-5	0.010419583956085986	0.3088246441189532	0.29993251205635213	4.577300532304822e-4
protein import into mitochondrial matrix (GO:0030150)	24	9.708277228723834e-5	0.3558627194891888	-0.4741510666086199	0.002591878842129578	5.938165768497348e-5	0.5928385185599304	0.586908376628081	5.309588657190936e-4
cytoplasm to vacuole targeting by the Cvt pathway (GO:0032258)	43	1.0456170451403202e-4	-0.3781166603126191	0.16659295971533866	1.889039749970947e-5	0.05967944829852059	0.4131893307343318	0.3851678660993166	5.683538049044931e-4
RNA modification (GO:0009451)	12	1.1298869177665858e-4	0.6416992328846433	-0.5374873353596759	1.194602113978786e-4	0.001274459125896934	0.8370606556019607	0.8338108186896517	6.104145177690213e-4
oxidative phosphorylation (GO:0006119)	10	1.2475130968048502e-4	-0.5092881944444445	0.7385416666666665	0.0053217820495781686	5.27128721731478e-5	0.897116635897061	0.8823489565587345	6.698767295570286e-4
structural constituent of nuclear pore (GO:0017056)	29	1.2935402853999048e-4	0.4523485696680969	-0.13780329273149436	2.566685002103774e-5	0.2001696447931038	0.4728731076815587	0.41730038383262125	6.862734687810274e-4
nuclear pore (GO:0005643)	48	1.2924296130950144e-4	0.3340080233406273	-0.025501458789204907	6.619335102495352e-5	0.760867286319301	0.3349801248675667	0.25421159271486826	6.862734687810274e-4
chorismate metabolic process (GO:0046417)	28	1.308038273596596e-4	0.08929349517584813	0.38012760659819483	0.41466479849562443	5.114631276911766e-4	0.3904744877438105	0.2056507723871053	6.898344704801096e-4
maintenance of translational fidelity (GO:1990145)	11	1.331702512013661e-4	0.681591254415218	-0.018765909584229502	9.117088471677388e-5	0.9142777779439628	0.6818495416569801	0.49522729991658826	6.981588317420732e-4
iron-sulfur cluster binding (GO:0051536)	43	1.341293799206432e-4	0.1161774050069895	0.27860719278180196	0.18913876445953634	0.0016302304414451687	0.30185949927725353	0.11485520440226167	6.990507682922934e-4
endoplasmic reticulum (GO:0005783)	493	1.3568097141520194e-4	-0.07590681664515332	0.11081000676132526	0.0057911283681947	5.576053183197736e-5	0.13431568192748708	0.1320287319923321	7.030019922448475e-4
cytoplasmic exosome (RNase complex) (GO:0000177)	10	1.3979494190008483e-4	0.7520399305555556	-0.4506510416666667	3.8334682407208326e-5	0.0136712262446538	0.8767271060628026	0.850430942130175	7.201065030434603e-4
proton transmembrane transporter activity (GO:0015078)	11	1.476784232973413e-4	-0.17591806934112125	0.7211358209838783	0.31290245825760615	3.4670862649403074e-5	0.742282991470773	0.6343128889385807	7.563183990834935e-4
peroxisomal membrane (GO:0005778)	37	1.7220456562455194e-4	-0.38619562588128403	0.07221956730797595	5.0133739292779484e-5	0.44866382571654373	0.392890223029268	0.324148491703067	8.768577307089253e-4
