ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:1901292	nucleoside phosphate catabolic process	11/462	38/4617	0.2894736842105263	2.892857142857143	3.9065437157256637	8.760124439005516e-4	0.009851428076746034	0.00847880019297144	YNR001C/YGR254W/YOR344C/YGL224C/YKL060C/YDR481C/YKL152C/YBR196C/YGL248W/YAL038W/YJR009C	11
BP	GO:0009082	branched-chain amino acid biosynthetic process	6/462	13/4617	0.46153846153846156	4.612387612387613	4.348772981085658	9.03045244472532e-4	0.00998617532845875	0.008594772721514888	YNL104C/YCL009C/YGL009C/YHR208W/YCL018W/YMR108W	6
BP	GO:0015846	polyamine transport	6/462	13/4617	0.46153846153846156	4.612387612387613	4.348772981085658	9.03045244472532e-4	0.00998617532845875	0.008594772721514888	YLL028W/YKR039W/YPL274W/YGR138C/YOR273C/YBR132C	6
BP	GO:0009110	vitamin biosynthetic process	12/462	44/4617	0.2727272727272727	2.725501770956316	3.83450687448486	9.27962590873614e-4	0.01009349473843677	0.00868713900860976	YNR057C/YGR286C/YNR058W/YMR095C/YMR096W/YLL027W/YBR256C/YFL059W/YNL333W/YBR035C/YPR069C/YOL143C	12
BP	GO:0042364	water-soluble vitamin biosynthetic process	12/462	44/4617	0.2727272727272727	2.725501770956316	3.83450687448486	9.27962590873614e-4	0.01009349473843677	0.00868713900860976	YNR057C/YGR286C/YNR058W/YMR095C/YMR096W/YLL027W/YBR256C/YFL059W/YNL333W/YBR035C/YPR069C/YOL143C	12
BP	GO:0046395	carboxylic acid catabolic process	19/462	89/4617	0.21348314606741572	2.1334452064789144	3.6000679511234672	0.0010155301431820918	0.010956166666688097	0.009429612369298844	YIR034C/YDL170W/YPL111W/YJR078W/YNL239W/YGL202W/YBR222C/YLR044C/YMR083W/YDR216W/YIL116W/YDL168W/YPL028W/YFL018C/YHR208W/YNL274C/YJR025C/YPR006C/YER010C	19
BP	GO:0046417	chorismate metabolic process	9/462	28/4617	0.32142857142857145	3.212198515769945	3.9148259390304405	0.001129953608304581	0.01209232611467886	0.010407467444910615	YGL202W/YGL125W/YGR204W/YGL026C/YIL116W/YKR080W/YBR166C/YDR007W/YBR263W	9
BP	GO:0016125	sterol metabolic process	13/462	51/4617	0.2549019607843137	2.5473644003055766	3.7049138108174398	0.0011491572919953017	0.012145202887003987	0.01045297674406007	YMR015C/YGR060W/YHR007C/YER044C/YPL028W/YPL170W/YML126C/YGR175C/YHR190W/YJL167W/YNL156C/YMR202W/YML008C	13
BP	GO:0006766	vitamin metabolic process	12/462	45/4617	0.26666666666666666	2.664935064935065	3.742129562253051	0.0011531993698285625	0.012145202887003987	0.01045297674406007	YNR057C/YGR286C/YNR058W/YMR095C/YMR096W/YLL027W/YBR256C/YFL059W/YNL333W/YBR035C/YPR069C/YOL143C	12
BP	GO:0009070	serine family amino acid biosynthetic process	8/462	23/4617	0.34782608695652173	3.4760022586109542	3.969061542015538	0.0011933488791916681	0.012275767152615068	0.010565349114018442	YER081W/YIR017C/YOR184W/YNL135C/YNL277W/YFL018C/YDR158W/YBR263W	8
