ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006508	proteolysis	50/462	339/4617	0.14749262536873156	1.4739685093667394	3.0227158321084087	0.0025957257755839865	0.02966543743524556	0.02571004577721282	YLR178C/YBR169C/YJL144W/YBL075C/YEL060C/YOL082W/YNL015W/YJL172W/YBR280C/YBR139W/YDR358W/YGL227W/YIR039C/YOR003W/YPL154C/YIL017C/YIL097W/YMR114C/YJL048C/YEL012W/YNL223W/YMR297W/YLL039C/YDR059C/YNL045W/YMR304W/YCL039W/YBR105C/YNL336W/YDL091C/YBR302C/YML132W/YMR135C/YHR113W/YDL216C/YLR120C/YHL048W/YLR299W/YAL005C/YGL141W/YCR068W/YDR255C/YKL157W/YDR330W/YPL191C/YHR028C/YNL239W/YJR161C/YDR306C/YNL159C	50
BP	GO:0030258	lipid modification	10/462	37/4617	0.2702702702702703	2.700947700947701	3.463597818088942	0.0026413982139551857	0.029902621290058704	0.02591560511805088	YBL091C-A/YOR317W/YJR019C/YGL010W/YPL147W/YKR009C/YKL188C/YDR284C/YER015W/YDR216W	10
BP	GO:0044273	sulfur compound catabolic process	5/462	11/4617	0.45454545454545453	4.54250295159386	3.9220485946744357	0.002719101026619471	0.03049459095274173	0.026428645492376168	YLL057C/YNR001C/YFR055W/YLR299W/YNL239W	5
BP	GO:0006163	purine nucleotide metabolic process	22/462	119/4617	0.18487394957983194	1.8475390156062426	3.1231427034725705	0.0030462158934530885	0.03384684326058987	0.029333930825844557	YGR043C/YGR256W/YJL052W/YOR374W/YCL040W/YGL037C/YIL155C/YMR120C/YGL248W/YOR347C/YKL067W/YDR516C/YGR254W/YLR174W/YPL134C/YJR078W/YFR047C/YJL060W/YOR163W/YJL005W/YDL066W/Q0130	22
BP	GO:0009166	nucleotide catabolic process	9/462	32/4617	0.28125	2.8106737012987013	3.426998282521572	0.0031918116009247827	0.03513921028541045	0.03045398224735573	YJL052W/YCL040W/YER037W/YGL248W/YOR347C/YDR516C/YGR254W/YOR163W/YDR481C	9
BP	GO:1901292	nucleoside phosphate catabolic process	10/462	38/4617	0.2631578947368421	2.6298701298701297	3.363782067400143	0.003271893131831837	0.03569337961998367	0.030934262337319184	YJL052W/YCL040W/YER037W/YGL248W/YOR347C/YDR516C/YGR254W/YNR001C/YOR163W/YDR481C	10
BP	GO:0009267	cellular response to starvation	22/462	121/4617	0.18181818181818182	1.8170011806375443	3.036481166506613	0.003769715952160353	0.04075368596930111	0.03531986117339429	YBR214W/YBL078C/YER175C/YLR270W/YBR139W/YOR152C/YLR155C/YLR157C/YLR158C/YLR160C/YER037W/YDR074W/YPL166W/YMR291W/YMR297W/YIL033C/YGL208W/YLR423C/YGR130C/YDR040C/YGL180W/YBL101C	22
BP	GO:0006635	fatty acid beta-oxidation	5/462	12/4617	0.4166666666666667	4.163961038961039	3.659108661020311	0.004282208364062301	0.044895088930898046	0.03890907707344497	YJR019C/YPL147W/YKR009C/YKL188C/YDR216W	5
BP	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	5/462	12/4617	0.4166666666666667	4.163961038961039	3.659108661020311	0.004282208364062301	0.044895088930898046	0.03890907707344497	YGL248W/YIL033C/YER020W/YPL203W/YJL005W	5
BP	GO:0042181	ketone biosynthetic process	7/462	22/4617	0.3181818181818182	3.1797520661157024	3.416992726358437	0.004302446022544396	0.044895088930898046	0.03890907707344497	YDR204W/YMR110C/YLR290C/YGR255C/YOR125C/YLR201C/YMR152W	7
BP	GO:0045454	cell redox homeostasis	7/462	22/4617	0.3181818181818182	3.1797520661157024	3.416992726358437	0.004302446022544396	0.044895088930898046	0.03890907707344497	YDR453C/YBL064C/YGR209C/YHR106W/YNL055C/YBR024W/YPR194C	7
BP	GO:0042592	homeostatic process	38/462	248/4617	0.1532258064516129	1.5312630917469627	2.8675621360050814	0.004393979722047449	0.04545496264187016	0.03939430095628747	YDR453C/YMR105C/YCL040W/YNL142W/YBL064C/YER053C/YER037W/YGL248W/YGL227W/YHR209W/YDL022W/YAL008W/YDR516C/YLR099C/YOR153W/YGR209C/YBR204C/YHR106W/YLR205C/YOR228C/YMR304W/YNL055C/YJR059W/YGL006W/YGR110W/YER020W/YPL203W/YML132W/YFR003C/YDR040C/YDR436W/YGL141W/YOR054C/YBR024W/YJL165C/YKL168C/YDR202C/YPR194C	38
BP	GO:0043067	regulation of programmed cell death	6/462	17/4617	0.35294117647058826	3.527119938884645	3.480485052630421	0.004596936280919823	0.0471480644196905	0.04086165583039843	YMR095C/YIL097W/YDR032C/YBR052C/YDR231C/YML120C	6
BP	GO:1901136	carbohydrate derivative catabolic process	11/462	46/4617	0.2391304347826087	2.3897515527950315	3.1584852052499115	0.004649646022189329	0.047284535818874526	0.040979931043024595	YJL052W/YCL040W/YGL248W/YIR007W/YOR347C/YDL022W/YDR516C/YGR254W/YMR278W/YDR530C/YOR163W	11
CC	GO:0005775	vacuolar lumen	12/462	20/4618	0.6	5.997402597402597	7.466859992707054	5.227480172379115e-8	9.304914706834825e-6	8.253916061651233e-6	YLR178C/YPL123C/YEL060C/YJL172W/YBR139W/YPR026W/YKR039W/YOR003W/YMR297W/YHR113W/YCR068W/YJL151C	12
CC	GO:0005773	vacuole	70/462	392/4618	0.17857142857142858	1.7849412492269634	5.415999242477446	4.1721275253637805e-7	3.713193497573765e-5	3.29378488844509e-5	YJR152W/YLR178C/YMR174C/YPL123C/YEL060C/YBL078C/YBR147W/YMR088C/YJL172W/YBR241C/YKL217W/YBR139W/YMR195W/YER065C/YIR007W/YLR194C/YPR026W/YGL104C/YKR039W/YOR003W/YOR036W/YPL265W/YPL154C/YGR254W/YMR251W-A/YIL017C/YKR058W/YNL305C/YDR055W/YER119C/YOR273C/YMR297W/YOR328W/YGL006W/YAR027W/YOL119C/YCR011C/YDR525W-A/YBR105C/YPL087W/YDL010W/YNL336W/YMR160W/YJL137C/YBR302C/YML132W/YLR037C/YPL006W/YHL036W/YHL035C/YHR113W/YDR040C/YOL129W/YGL180W/YHL048W/YJL079C/YLR299W/YIL088C/YCL038C/YAL005C/YCR068W/YDR284C/YDR481C/YHR028C/YDR003W/YGR141W/YIL146C/YJR161C/YJL151C/YPR194C	70
CC	GO:0000322	storage vacuole	61/462	334/4618	0.18263473053892215	1.8255566788500919	5.222260757460156	1.1713837859341916e-6	4.170126277925722e-5	3.699106692423763e-5	YJR152W/YLR178C/YPL123C/YEL060C/YBL078C/YBR147W/YMR088C/YJL172W/YBR241C/YKL217W/YBR139W/YMR195W/YIR007W/YLR194C/YPR026W/YGL104C/YKR039W/YOR003W/YOR036W/YPL265W/YPL154C/YGR254W/YMR251W-A/YNL305C/YDR055W/YER119C/YOR273C/YMR297W/YOR328W/YGL006W/YAR027W/YOL119C/YCR011C/YDR525W-A/YPL087W/YDL010W/YNL336W/YMR160W/YBR302C/YML132W/YLR037C/YPL006W/YHL036W/YHL035C/YHR113W/YDR040C/YOL129W/YHL048W/YJL079C/YLR299W/YIL088C/YCL038C/YAL005C/YDR284C/YDR481C/YHR028C/YDR003W/YGR141W/YJR161C/YJL151C/YPR194C	61
