gene_id,TE_WT_Arava,TE_WT_Park_HP,TE_WT_Park_LP,TE_WT_Gerashchenko,is_ambiguous_Gerashchenko,TE_WT_Sen,TE_WT_Arava_mean_norm,TE_WT_Park_HP_mean_norm,TE_WT_Park_LP_mean_norm,TE_WT_Gerashchenko_mean_norm,TE_WT_Sen_mean_norm,TE_WT_PP,TE_WT_RS,TPMsc_input_small_YM,TPMsc_MandP_small_YM,TPMsc_P_small_YM,TPMsc_input_large_YM,TPMsc_MandP_large_YM,TPMsc_P_large_YM,TE_rRNAdep_MandP_small_YM,TE_rRNAdep_P_small_YM,TE_rRNAdep_MandP_large_YM,TE_rRNAdep_P_large_YM,TE_polyA_MandP_small_YM,TE_polyA_P_small_YM,TE_polyA_MandP_large_YM,TE_polyA_P_large_YM,TPMsc_input_polyA_small_YM,TPMsc_input_polyA_large_YM
YDL127W,0.07578869,0.839353601,0.877377128,0.626076236,FALSE,0.757858283,0.22336015,0.766241536,0.759671306,0.661770757,0.627132708,0.583090997,0.644451733,24.49271197,24.0181512,21.50039308,12.12538681,13.56836891,13.19361446,0.980624409,0.877828193,1.119005037,1.088098439,0.959208238,0.858657021,1.010018192,0.98212178,25.03955893,13.43378666
YER111C,0.110542654,0.411451672,0.360697729,1.459722945,FALSE,1.125058485,0.32578507,0.375612091,0.312307794,1.542946215,0.930993288,0.337901651,1.236969751,36.94467749,23.689556,24.19954087,54.01249632,33.58602377,36.03487664,0.64121702,0.655021035,0.621819506,0.667158141,1.324974105,1.353497929,1.827245257,1.960474925,17.87925962,18.38068735
YBR071W,0.100966195,1.244875073,1.189623932,1.655223764,FALSE,1.164733586,0.297561871,1.136439978,1.03002818,1.749593134,0.963824695,0.821343343,1.356708914,79.67132481,95.56727269,81.05670354,619.7916076,673.7918895,716.6305624,1.199519061,1.017388674,1.087126514,1.156244379,1.319639576,1.119270551,1.344074535,1.429528768,72.41922295,501.30545
YDR528W,0.044508412,0.671367844,0.852156465,0.372318788,FALSE,0.554784736,0.131172679,0.612888212,0.737834158,0.393545821,0.459088014,0.493965016,0.426316917,19.08485273,17.89770514,16.10065394,40.59853765,38.16798328,33.63731491,0.937796346,0.843635221,0.940131972,0.828535136,1.143071281,1.028299158,1.134339732,0.999689779,15.65755823,33.64775314
YKL108W,0.04434185,0.834872285,0.697514008,0.651627075,FALSE,0.524858342,0.130681798,0.762150566,0.603937988,0.688778328,0.434323726,0.498923451,0.561551027,10.45953086,10.63562814,9.681517885,16.14614757,17.4858019,15.07454826,1.016836059,0.925616838,1.082970524,0.93363127,0.966121093,0.879451456,1.411239497,1.216632673,11.00858703,12.39038585
YPR018W,0.190746958,0.570752005,0.490737829,0.729202001,FALSE,0.747424624,0.562158667,0.521036536,0.424902172,0.770776038,0.618498787,0.502699125,0.694637413,19.68511788,13.62518214,14.18278283,26.65085259,20.956054,17.82690319,0.692156492,0.720482494,0.786318334,0.668905549,0.865316771,0.900729232,1.079074114,0.917947136,15.74588937,19.42040286
YDR309C,0.291540347,0.863478581,0.689598502,1.212943035,FALSE,1.301341855,0.859211255,0.788265104,0.597084399,1.282096627,1.076868935,0.748186919,1.179482781,58.86199294,51.8882593,47.57554066,230.9397649,210.2574415,214.9854849,0.881523997,0.808255689,0.91044278,0.930915839,1.820872246,1.669529538,2.257513693,2.308278235,28.49637552,93.13672919
YGR041W,0.120723905,0.68383793,0.656386993,0.667092879,FALSE,0.539614118,0.355790679,0.624272089,0.568328429,0.705125885,0.446534228,0.516130399,0.575830056,29.65041127,24.69785014,24.79137623,1.809017973,1.589858145,1.831120134,0.832968215,0.836122508,0.878851492,1.012217767,1.068118543,1.072163306,1.208948672,1.392407405,23.12276134,1.315074975
YCL024W,NA,0.571214686,0.471484205,1.023529389,FALSE,0.747424624,NA,0.521458915,0.408231547,1.08188393,0.618498787,0.464845231,0.850191359,15.9256097,10.99075282,12.58162745,27.06229306,25.07834954,25.43857027,0.690130741,0.790024852,0.926689748,0.940000547,0.986796858,1.129632394,1.35757878,1.377078788,11.13780687,18.47285027
YMR179W,0.024522178,0.647392054,0.687368628,0.76654696,FALSE,0.768437591,0.07227038,0.591000838,0.595153677,0.810250147,0.635887155,0.419474965,0.723068651,7.496958321,5.789614901,5.568631027,17.88443418,14.94274915,15.18110442,0.77226185,0.742785379,0.83551702,0.848844547,1.029131245,0.989850324,1.229990463,1.249610327,5.625730369,12.14867074
