Gene_ID	Gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Direction	Model_factor
YDR277C	MTH1	525.0823346	1.947313474	0.171805122	8.424157874	3.63E-17	1.49E-15	Upregulated	Age_48h_vs_log
YNR014W	YNR014W	106.9361887	1.911296357	0.167674744	8.416869036	3.87E-17	1.57E-15	Upregulated	Age_48h_vs_log
YDR502C	SAM2	1287.862221	-1.505256443	0.119437909	-8.416560965	3.88E-17	1.57E-15	Downregulated	Age_48h_vs_log
YDR018C	YDR018C	93.78188238	2.053533738	0.184759219	8.408423403	4.16E-17	1.67E-15	Upregulated	Age_48h_vs_log
YGL147C	RPL9A	8192.78858	-1.855068007	0.161648025	-8.382830553	5.17E-17	2.07E-15	Downregulated	Age_48h_vs_log
YBR241C	YBR241C	404.4264929	1.597768432	0.131149833	8.370337996	5.75E-17	2.29E-15	Upregulated	Age_48h_vs_log
YPL171C	OYE3	66.09601644	2.546934484	0.245109504	8.351102059	6.76E-17	2.67E-15	Upregulated	Age_48h_vs_log
YBR240C	THI2	74.45234984	1.785395179	0.154012032	8.346069857	7.06E-17	2.77E-15	Upregulated	Age_48h_vs_log
YKR015C	YKR015C	32.0819077	2.366981567	0.22391005	8.338087406	7.55E-17	2.95E-15	Upregulated	Age_48h_vs_log
YDR341C	YDR341C	3538.513786	-1.083991723	0.070293516	-8.307903133	9.74E-17	3.78E-15	Downregulated	Age_48h_vs_log
YNL301C	RPL18B	2634.800756	-1.320506734	0.098858969	-8.299770269	1.04E-16	4.03E-15	Downregulated	Age_48h_vs_log
YKL107W	YKL107W	44.40060843	2.856987904	0.284167103	8.294372836	1.09E-16	4.19E-15	Upregulated	Age_48h_vs_log
YOR063W	RPL3	27875.47136	-1.334327593	0.100628805	-8.291140838	1.12E-16	4.28E-15	Downregulated	Age_48h_vs_log
YNL196C	SLZ1	21.3232097	4.219726925	0.448701053	8.289989285	1.13E-16	4.30E-15	Upregulated	Age_48h_vs_log
YLR414C	PUN1	2252.354544	1.710289562	0.146074409	8.285431845	1.18E-16	4.44E-15	Upregulated	Age_48h_vs_log
YLR177W	YLR177W	623.4374501	1.454419161	0.115330558	8.275509781	1.28E-16	4.80E-15	Upregulated	Age_48h_vs_log
YPR124W	CTR1	1334.187751	-1.475937375	0.11809687	-8.263871676	1.41E-16	5.26E-15	Downregulated	Age_48h_vs_log
YGR144W	THI4	118.2606794	2.703529947	0.266830138	8.258174902	1.48E-16	5.49E-15	Upregulated	Age_48h_vs_log
YNL092W	YNL092W	92.31747834	1.670115479	0.141719644	8.256551088	1.50E-16	5.51E-15	Upregulated	Age_48h_vs_log
YOL120C	RPL18A	9347.855928	-1.396002067	0.108523452	-8.256298954	1.50E-16	5.51E-15	Downregulated	Age_48h_vs_log
YML042W	CAT2	242.9849132	1.84414315	0.162868808	8.252919414	1.55E-16	5.64E-15	Upregulated	Age_48h_vs_log
YGL076C	RPL7A	10504.87289	-1.321270672	0.099711557	-8.236464266	1.77E-16	6.44E-15	Downregulated	Age_48h_vs_log
YDL204W	RTN2	237.0615668	1.406836168	0.110152577	8.232546087	1.83E-16	6.62E-15	Upregulated	Age_48h_vs_log
YOL084W	PHM7	91.31406404	1.970523874	0.179450685	8.194584907	2.51E-16	8.98E-15	Upregulated	Age_48h_vs_log
YNL144C	YNL144C	302.0890825	1.560924116	0.129456382	8.195224507	2.50E-16	8.98E-15	Upregulated	Age_48h_vs_log
YBL039C	URA7	3630.969848	-1.157757568	0.080320883	-8.189122672	2.63E-16	9.35E-15	Downregulated	Age_48h_vs_log
YLR338W	OPI9	34.18882463	4.749514536	0.519175278	8.185124981	2.72E-16	9.61E-15	Upregulated	Age_48h_vs_log
YBR298C	MAL31	316.1133385	1.868072584	0.167485575	8.168300959	3.13E-16	1.10E-14	Upregulated	Age_48h_vs_log
YGR234W	YHB1	2725.887355	-2.052005835	0.190034316	-8.166976741	3.16E-16	1.11E-14	Downregulated	Age_48h_vs_log
YOR348C	PUT4	71.1362299	2.616153568	0.259187682	8.164560715	3.23E-16	1.12E-14	Upregulated	Age_48h_vs_log
YER055C	HIS1	3676.641607	-1.200745373	0.08587719	-8.159854451	3.35E-16	1.16E-14	Downregulated	Age_48h_vs_log
YDR064W	RPS13	9881.242318	-1.318958601	0.100381679	-8.158446954	3.39E-16	1.17E-14	Downregulated	Age_48h_vs_log
YPL220W	RPL1A	9218.191624	-1.435103255	0.114789804	-8.146222263	3.75E-16	1.29E-14	Downregulated	Age_48h_vs_log
YLR280C	YLR280C	123.5812396	1.992182458	0.183380388	8.137088585	4.05E-16	1.38E-14	Upregulated	Age_48h_vs_log
YPL081W	RPS9A	1445.284124	-1.263096162	0.09382208	-8.133438972	4.17E-16	1.41E-14	Downregulated	Age_48h_vs_log
YEL060C	PRB1	2347.075818	1.415608171	0.113042954	8.099648298	5.51E-16	1.86E-14	Upregulated	Age_48h_vs_log
YDL229W	SSB1	21842.48607	-1.369274031	0.107472831	-8.088314278	6.05E-16	2.03E-14	Downregulated	Age_48h_vs_log
YJR070C	LIA1	2290.059413	-1.319878098	0.101381384	-8.087067511	6.11E-16	2.04E-14	Downregulated	Age_48h_vs_log
YAR071W	PHO11	978.4441391	-2.068759758	0.194364109	-8.071241985	6.96E-16	2.31E-14	Downregulated	Age_48h_vs_log
YDL082W	RPL13A	4971.676929	-1.404408662	0.112085976	-8.068883346	7.09E-16	2.34E-14	Downregulated	Age_48h_vs_log
YIL133C	RPL16A	5990.78626	-1.460431746	0.119060955	-8.066722988	7.22E-16	2.37E-14	Downregulated	Age_48h_vs_log
YGR070W	ROM1	646.4027196	1.428987194	0.115211611	8.063312255	7.43E-16	2.43E-14	Upregulated	Age_48h_vs_log
YPR069C	SPE3	2316.908177	-1.293236434	0.098582434	-8.046427772	8.52E-16	2.78E-14	Downregulated	Age_48h_vs_log
YDL079C	MRK1	158.4505333	1.692977187	0.148346472	8.041830544	8.85E-16	2.87E-14	Upregulated	Age_48h_vs_log
YMR191W	SPG5	1111.739635	1.473837979	0.12115456	8.037980406	9.13E-16	2.94E-14	Upregulated	Age_48h_vs_log
