gene_id	log2FC_hl_Not1_AID	log2FC_hl_Pop2_AID	log2FC_hl_Xrn1_AID	log2FC_hl_dcp2_AID	log2FC_hl_CCR4_AID
YCR020C-A	NA	-1.2802088442569	1.88460755844367	-0.281749830939145	NA
YCR028C-A	-1.51776949034811	0.195744961116375	-1.03061988279558	-0.395460228643599	1.28559722104034
YCR034W	-1.78187065847884	0.155058955086003	-1.05848303966638	0.266710412907174	1.08229026616538
YCR037C	-1.21304117052303	-0.606633951829822	-0.299918461290257	NA	NA
YCR042C	-3.08113453365708	-1.08656528313543	NA	-0.944861115727491	-0.926804434567583
YCR065W	-2.58711797719186	-2.54494992607443	-1.87666653884399	-3.23110537079663	NA
YCR069W	-0.691827265578584	0.570867379653231	-0.105507557706343	-0.608439766292098	0.568210778773775
YCR073C	NA	-1.49331555537075	NA	-1.05439472882633	NA
YCR073W-A	-1.04640234865898	-0.0586223347354278	NA	1.19695218758074	NA
YCR076C	-3.47753736913453	-0.802762091175295	NA	NA	NA
YCR082W	-0.702212654021719	-1.08327560216119	-1.12750563788194	-0.129359019357078	-0.115246057905458
YCR083W	NA	-0.619974547747292	NA	NA	NA
YCR091W	1.2631601955637	NA	-1.91659892907538	-0.709166579461851	NA
YCR096C	-2.12066987332829	-2.11794614076729	-3.22218401198664	-1.69131540052212	-0.64962050030648
YCR097W	-0.0155229678303772	0.219561244840593	-0.225116994728986	-0.647371693483252	0.147276405703713
YCR107W	-2.01535027815064	NA	0.217893691899313	-0.63654143731636	0.286011122926184
YDL006W	-1.13734544553207	0.497988817419346	-0.33127841254657	-0.601281313965316	-0.294096944812612
YDL008W	-0.663439640553403	1.15769938863452	1.71540649566265	-1.13761019639941	NA
YDL010W	-2.42000044348385	-0.163645960822253	-1.92609398913289	NA	NA
YDL014W	-2.42731662412317	-1.2277878857543	-0.589492412786278	-0.794552403136966	-0.639199644028408
YDL015C	-1.87410409021212	-0.160525415639597	-0.973501645052846	0.33316047473477	NA
YDL016C	-1.51111114963849	-0.43794792057954	-0.941568800436682	0.669935585777051	NA
YDL017W	-0.172103585651272	NA	1.8574471067315	NA	NA
YDL022W	-1.96168280546732	-0.476877097671953	-2.51012604253812	-1.25885497414698	-0.00499277511656251
YDL025C	-1.60094565016417	-0.56308612810155	-1.07288091927165	-0.907908987396964	0.529877797602841
YDL027C	-1.95868047778302	NA	-2.61135871485096	-1.08169770530214	NA
YDL028C	-2.46233351330883	-0.336714680607194	-0.832426499846785	-2.03003892483959	0.905767720315332
YDL035C	-2.04870523581378	-1.37692333660889	0.582073537883011	-0.844308985101646	-0.94668384565655
YDL048C	-2.75187271333976	-0.516173326063475	-1.84563711057366	-2.44986089533208	-1.05938826163479
YDL051W	-1.6265127794856	0.073851956185268	-0.82182510551615	NA	NA
YDL052C	-1.3061871472894	-0.848877939594685	-0.922845465766773	0.25284103342137	-0.293485396101076
YDL056W	-0.71108353845205	0.488615376720588	-0.0841911593384904	0.331781185309603	NA
YDL061C	-0.525248967507608	-0.559160219099842	-1.40756141569207	-0.404409193563232	0.257041723675599
YDL065C	-1.66875196668623	-0.150242232583196	-0.26910803342699	-0.955022776893525	0.614596322896444
YDL070W	-2.00061403790323	-1.69977002206698	-1.7054778947477	-2.20457243438041	-1.54259475658391
YDL072C	-1.69134470038699	-1.19090360950736	-1.43659025689374	-0.636139184909482	-0.0887955329663928
YDL073W	1.45793056377002	1.10608949554213	-0.342828259273461	-1.5681776242726	-0.717235634732334
YDL074C	-1.44647522248888	-0.373249340219439	0.165442615442416	-0.33141711349643	NA
YDL078C	-0.973447685118961	-0.526023421299914	-1.56108988394328	0.440893984285174	-0.784145355968361
YDL079C	-0.717153616310134	-0.952685662293761	NA	NA	NA
