gene_id	log2FC_pat1D	log2FC_lsm1D	log2FC_dhh1D
YEL005C	0.608424964	0.6074764414	0.456068786
YEL006W	-0.512214885	-0.5938717541	-0.747514572
YEL007W	-0.466670673	-0.4182705415	0.341561477
YEL008C-A	-0.209581042	0.1601976881	-0.220216196
YEL008W	0.377173597	-0.3279241194	-0.054367807
YEL009C-A	1.633939453	1.4497328543	0.540716272
YEL009C	-0.181144242	-0.1575420679	-0.47880525
YEL010W	1.073157653	-2.5975372638	-2.808921951
YEL011W	1.524008305	1.452976762	2.575461853
YEL012W	0.980145782	1.0221359122	1.368169277
YEL013W	-0.119193896	-0.0982398491	0.00246069
YEL015W	-0.202475123	-0.1603207452	0.302044981
YEL016C	-0.422782227	-0.3015521684	-0.611720208
YEL017C-A	-0.765897163	-0.8316051522	-0.65727511
YEL017W	0.141316555	0.1867060862	0.449374058
YEL018C-A	2.094642568	2.0339799921	0.029657668
YEL018W	0.04073333	0.1485769013	0.100224323
YEL019C	0.029313973	-0.00128796	0.221812142
YEL020C-B	-0.966370324	-1.3116660361	-0.874894849
YEL020C	-0.134469447	-0.0976590801	0.251832569
YEL020W-A	0.591967155	0.4884893902	0.526660615
YEL021W	0.247068858	0.2503228449	0.046534296
YEL022W	-0.70310205	-0.6769053499	0.054246424
YEL023C	0.100169268	0.1675136089	-0.461719019
YEL024W	0.229037951	0.1087501829	0.429048812
YEL025C	-0.677385559	-0.5937189136	-0.88726468
YEL026W	-0.184630865	-0.2473839464	-0.621409457
YEL027W	-0.314134688	-0.4018540447	-0.305948035
YEL028W	-0.369375176	-0.4453882715	-0.606850104
YEL029C	-0.023127742	0.0517320485	-0.399886717
YEL030C-A	1.20446429	1.0387678074	-0.22490706
YEL030W	-0.291542033	-0.1687267842	-1.032123985
YEL031W	-0.473159102	-0.4083200122	-0.425784042
YEL032C-A	1.558517145	-0.5006362851	-1.299216028
YEL032W	-0.698143544	-0.6109042005	-0.258468936
YEL033W	0.309904241	0.1179587597	-0.49854367
YEL034C-A	0.0110469	-0.1969312332	-0.737849466
YEL034W	0.150265489	0.13383981	-0.594879546
YEL035C	1.315763185	1.0008821711	2.086168148
YEL036C	-0.163067916	-0.089212059	-0.211056314
YEL037C	0.042434684	0.1185844691	-0.344496421
YEL038W	0.383752945	0.4791987992	-0.742686522
YEL039C	4.030567378	3.8312853188	2.913118276
YEL040W	0.136875537	0.3087689138	-0.846792506
YEL041W	0.237501894	0.1813996834	0.553257881
YEL042W	-0.735504557	-0.6853021731	-0.783114853
YEL043W	-0.449667687	-0.3819375416	-0.450867491
YEL044W	0.204043301	0.2596383247	-0.392014291
YEL045C	0.47854077	1.3153753146	0.391995096
YEL046C	-1.326389052	-1.2548840141	-0.786852978
YEL047C	0.56479694	0.6675041434	-0.270518317
YEL048C	-0.323655886	-0.3723526735	-0.849583575
YEL049W	0.471915552	0.9353183793	1.231789607
YEL050C	0.051319369	0.0644485669	0.375383008
YEL050W-A	0.925026928	1.7110491045	-0.383515347
YEL051W	0.124541184	0.1426012914	-0.166993682
YEL052W	0.02397749	-0.001444613	-0.047947515
YEL053C	-0.355996055	-0.2988326756	-0.464177501
YEL053W-A	-1.038166436	-0.6735135359	-0.710835799
YEL054C	-0.388051728	-0.4321877452	-0.567260417
YEL055C	-0.841643628	-0.7594769293	-0.549604854
YEL056W	-0.297604969	-0.3004962866	-0.049348635
YEL057C	0.539904871	0.5722024424	0.848971845
YEL058W	0.07397146	0.2594977181	0.204251805
YEL059C-A	0.597853805	0.5515056906	0.399296821
YEL059W	0.1808175	0.1642758845	-0.76912334
YEL060C	1.083498916	1.1895994944	1.740725819
YEL061C	-0.443685597	-0.4626378694	0.801351783
YEL062W	-0.221132187	-0.2367409965	0.434709268
YEL063C	-0.624237587	-0.6481835669	-0.618859692
YEL064C	-0.484345584	-0.3851273911	-0.034401347
YEL065W	2.554788755	2.5282844067	1.168339966
YEL066W	0.339697361	0.3706215117	-0.457286973
