name,hl_wt_rep1,k_wt_rep1,R2_wt_rep1,hl_wt_rep2,k_wt_rep2,R2_wt_rep2,hl_wt_rep3,k_wt_rep3,R2_wt_rep3,hl_UPF3_rep1,k_UPF3_rep1,R2_UPF3_rep1,hl_UPF3_rep2,k_UPF3_rep2,R2_UPF3_rep2,hl_UPF3_rep3,k_UPF3_rep3,R2_UPF3_rep3
YBL026W,12.00032881,0.060896225,0.991369092,13.15916855,0.055809629,0.972955342,14.17527216,0.052033876,0.933537775,15.31282677,0.048276823,0.976114352,12.17061291,0.059963563,0.995903948,11.71790103,0.062163879,0.990924359
YBL027W,24.64795079,0.031257442,0.959060965,23.55322713,0.032564512,0.976788513,24.59500025,0.031317986,0.967591361,27.55978918,0.028161705,0.938292392,23.84720721,0.032077212,0.967516413,25.656191,0.030027795,0.963439997
YBL028C,8.052291101,0.089216283,0.991662544,11.16409703,0.065222712,0.963099983,12.65659302,0.057901243,0.977331047,12.98234389,0.056402562,0.980741493,10.72204343,0.067657963,0.991345137,11.27528742,0.064485935,0.985974587
YBL029C-A,10.65807099,0.068170499,0.988658937,12.36752607,0.059181285,0.943536058,10.89681879,0.066745592,0.982736874,16.01486225,0.046292529,0.965586205,13.2679619,0.055253208,0.98358354,12.86115909,0.056905646,0.988163454
YBL029W,6.08364375,0.117071731,0.827663917,5.665027485,0.125491027,0.87798248,8.370634115,0.085942553,0.958264694,19.27539907,0.038971233,0.971535365,11.73055708,0.062100059,0.902652058,14.50417918,0.050800514,0.907845953
YBL030C,13.7798978,0.053436873,0.995430126,13.51531967,0.05442158,0.995436544,14.76453044,0.050082324,0.989208385,14.16670227,0.051938947,0.993585822,14.30284814,0.051473213,0.997726769,15.21351955,0.048572298,0.986666013
YBL031W,7.459156753,0.096061219,0.836348253,12.65231977,0.05791974,0.950096345,7.392342148,0.096901114,0.858834243,NA,NA,NA,NA,NA,NA,10.22212527,0.070819553,0.912006461
YBL032W,9.516451625,0.075972269,0.94372375,11.77214613,0.062015816,0.992148886,14.27977697,0.05167602,0.946468357,10.48272894,0.069133814,0.912495426,9.846245954,0.073408136,0.966190742,12.83249145,0.057026046,0.96805178
YBL033C,7.080964261,0.101024355,0.949137117,4.389814828,0.1610345,0.968456077,5.592017809,0.127088507,0.976181974,12.71764601,0.057513823,0.912421948,6.162928504,0.115481458,0.974289964,6.042833362,0.117716693,0.989191993
YBL034C,6.730286952,0.106124789,0.864231867,6.467318435,0.110312449,0.949221926,6.445353929,0.110677687,0.911555903,6.109681144,0.116461665,0.771531042,4.159083569,0.169669667,0.749317358,4.781084974,0.147987997,0.987782706
YBL035C,NA,NA,NA,5.175065192,0.13707534,0.98311183,7.06668065,0.101222214,0.979914169,13.38167344,0.054809278,0.660656249,5.283515994,0.134201548,0.987946242,9.795449211,0.073773198,0.922091278
YBL036C,14.08004436,0.052364591,0.988568923,13.22751156,0.055537476,0.98408566,12.90161703,0.056861148,0.99433588,14.60745615,0.050462635,0.990843175,17.41008965,0.042823993,0.929202195,15.01861939,0.049163557,0.948081781
YBL037W,9.863795887,0.073407393,0.899871572,6.058421004,0.117546077,0.995753944,6.250718032,0.114026352,0.98323707,8.80913428,0.081696085,0.807177913,5.516068383,0.128670676,0.940067973,6.600273174,0.108028987,0.997875581
YBL038W,6.004969538,0.118564468,0.968639488,6.267553173,0.113728491,0.962113166,6.507587059,0.109649244,0.98649387,15.52939453,0.047645561,0.863606713,7.833124888,0.091500263,0.990550115,6.384002665,0.111586675,0.968703023
YBL039C,13.4789815,0.054559842,0.976666277,10.49136078,0.06920392,0.983394329,12.04107787,0.060700753,0.977946314,12.89642731,0.056758259,0.965451226,9.49440554,0.076016888,0.983749412,11.16672257,0.065083605,0.992105239
