sample	Candida_TPMsum	S_cerevisiae_TPMsum	spikein_ratio	sample_short	experiment	ref1	ref2	ref3	sample_ref1	sample_ref2	sample_ref3	replicate_1	exp_group_1	exp_group_2	exp_group_3	exp_group_4	strain_id	strain_info	arrest	condition	strain_info_condition	strain_info_condition_easy	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume	RNA_per_genome	RNA_per_cell	RNA_conc
2025-07-29-MS250530L01_exp250523_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	430869.8199841379	543682.6606830275	1.2618258124995683	MS69_SCD_1hr-arrest_DMSO	exp250523	TRUE	TRUE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	C	B	A	MS69	WT	1hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.451830485	DNA_content_analysis_AC250528_MS69_DMSO-1hr_exp250523.fcs	1.287529621	65.88537	2.7926973818501164	3.5956806016211726	0.05457479561276157
2025-07-29-MS250530L02_exp250523_MS69_SCD_1hr-arrest_PhIAA_polyA-RNA	343182.222960682	629203.7995293491	1.8334393725325226	MS69_SCD_1hr-arrest_PhIAA	exp250523	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	C	B	A	MS69	WT	1hr G1 arrest	PhIAA	WT_PhIAA	WT_PhIAA	0.646490291	DNA_content_analysis_AC250528_MS69_PhIAA-1hr_exp250523.fcs	1.284352248	65.89803	2.835989028847647	3.6424088845038125	0.05527341082129181
2025-07-29-MS250530L03_exp250523_MS69_SCD_4hr45m-arrest_DMSO_polyA-RNA	479599.5875051166	488469.19343902735	1.0184937730660917	MS69_SCD_4.75hr-arrest_DMSO	exp250523	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	C	B	A	MS69	WT	4.75hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.155702368	DNA_content_analysis_AC250528_MS69_DMSO-4.75hr_exp250523.fcs	1.000589354	245.06509	6.541286341040694	6.545141474310931	0.026707767615170856
2025-07-29-MS250530L04_exp250523_MS69_SCD_4hr45m-arrest_PhIAA_polyA-RNA	399618.8691849167	564189.1699818944	1.4118181434541461	MS69_SCD_4.75hr-arrest_PhIAA	exp250523	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	C	B	A	MS69	WT	4.75hr G1 arrest	PhIAA	WT_PhIAA	WT_PhIAA	0.178188828	DNA_content_analysis_AC250528_MS69_PhIAA-4.75hr_exp250523.fcs	1.00042751	242.80898	7.9231574689640265	7.926544698013583	0.03264518757919737
2025-07-29-MS250530L05_exp250523_MS793c2_SCD_1hr-arrest_DMSO_polyA-RNA	343247.8997886057	628087.6208848684	1.829836748518157	MS793_SCD_1hr-arrest_DMSO	exp250523	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	H	B	A	MS793c2	Pkc1-AID	1hr G1 arrest	DMSO	PKC1-AID_DMSO	PKC1-AID_DMSO	0.603809216	DNA_content_analysis_AC250528_MS793c2_DMSO-1hr_exp250523.fcs	1.287883943	71.99057	3.030488273498225	3.9029171868881565	0.05421428371643892
2025-07-29-MS250530L06_exp250523_MS793c2_SCD_1hr-arrest_PhIAA_polyA-RNA	302748.8893758215	668225.6539311981	2.2071944022945265	MS793_SCD_1hr-arrest_PhIAA	exp250523	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	H	B	A	MS793c2	Pkc1-AID	1hr G1 arrest	PhIAA	PKC1-AID_PhIAA	PKC1-AID_PhIAA	0.671853385	DNA_content_analysis_AC250528_MS793c2_PhIAA-1hr_exp250523.fcs	1.350674793	72.48502	3.285232241993581	4.4372803784116055	0.061216515887166825
2025-07-29-MS250530L07_exp250523_MS793c2_SCD_4hr35m-arrest_DMSO_polyA-RNA	383140.67511278426	582371.5845824335	1.51999414943611	MS793_SCD_4.65hr-arrest_DMSO	exp250523	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	H	B	A	MS793c2	Pkc1-AID	4.65hr G1 arrest	DMSO	PKC1-AID_DMSO	PKC1-AID_DMSO	0.196256642	DNA_content_analysis_AC250528_MS793c2_DMSO-4.65hr_exp250523.fcs	1.00076205	256.46337	7.744930994162786	7.750833018826889	0.030221988500060998
2025-07-29-MS250530L08_exp250523_MS793c2_SCD_4hr35m-arrest_PhIAA_polyA-RNA	354248.7959139927	612128.3765233599	1.7279617703258963	MS793_SCD_4.65hr-arrest_PhIAA	exp250523	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	H	B	A	MS793c2	Pkc1-AID	4.65hr G1 arrest	PhIAA	PKC1-AID_PhIAA	PKC1-AID_PhIAA	0.206751586	DNA_content_analysis_AC250528_MS793c2_PhIAA-4.65hr_exp250523.fcs	1.000765516	243.9075	8.357671173201528	8.364069104207353	0.034291971768835944
2025-07-29-MS250701L01_exp250515_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	371200.2075637416	601027.0057161193	1.6191451229533929	MS69_SCD_1hr-arrest_DMSO	exp250515	TRUE	TRUE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	C	B	A	MS69	WT	1hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.604840869	DNA_content_analysis_AC250528_MS69_DMSO-1hr_exp250515.fcs	1.279789653	62.89363	2.6769770462607294	3.4259675251229837	0.054472408813467814
2025-07-29-MS250701L02_exp250515_MS69_SCD_1hr-arrest_PhIAA_polyA-RNA	362982.3985669419	608352.9816886015	1.675984797308038	MS69_SCD_1hr-arrest_PhIAA	exp250515	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	C	B	A	MS69	WT	1hr G1 arrest	PhIAA	WT_PhIAA	WT_PhIAA	0.590053837	DNA_content_analysis_AC250528_MS69_PhIAA-1hr_exp250515.fcs	1.277533298	64.30372	2.840393015371643	3.6286966565439	0.05643058685475583
