gene_id	log2FC_pop2ccr4_hl	log2FC_dcp2_hl
YBR202W	0.19872048783658494	0.13233135175264835
YBR203W	0.12326112798344524	-1.96731269188232
YBR204C	0.5802526347897222	0.07553500368515671
YBR207W	0.5617016784965635	0.2960786846758699
YBR208C	2.147005091172745	0.16974080676069053
YBR210W	0.5118127100709747	0.44014580966893513
YBR211C	1.4311276613899508	1.2389061355281805
YBR212W	0.13507010785919155	0.16949304865058087
YBR213W	0.20841041841345667	-0.08223036900873681
YBR214W	0.6329319451242705	-0.33153766100453835
YBR215W	1.062483687798241	0.3116286723907821
YBR216C	0.3711409633721706	0.6454846378469985
YBR217W	0.8293622020644567	0.23359014322789529
YBR218C	0.6213014330225007	0.21199495937149246
YBR220C	-0.17391340261385993	0.22871998606081312
YBR221C	0.2443136170306204	-0.11434016387092062
YBR222C	0.3486679497982886	0.0026628349287081184
YBR223C	-0.4611503223624327	0.5577786061623635
YBR225W	0.9935701374078509	-1.788985614927911
YBR227C	0.7738798828308772	0.15538786780525624
YBR228W	0.5848008379892137	0.07062282103021468
YBR229C	0.4493136100320676	0.02871968251640873
YBR230C	0.5246104552612237	0.08559093952155958
YBR230W-A	0.25436596965050395	0.38600095628781345
YBR231C	0.11972820410939022	-0.48045891787696304
YBR233W	0.536214544218546	0.3340680948805095
YBR233W-A	0.25923424857291144	0.5428693486054018
YBR234C	0.14127771560546726	0.010049925923047976
YBR235W	0.27211302180495633	0.1749556642146081
YBR236C	0.10199532964427524	-0.17908950088691483
YBR237W	0.6781111396029411	0.02408151720691256
YBR238C	1.3012931037090694	3.524883013857685
YBR239C	0.5044708195866829	0.3454121634555381
YBR240C	-0.8335058736415529	-1.307895845133803
YBR241C	0.6792620915692466	0.13711809421732474
YBR242W	0.7617356351067726	0.4583430295278158
YBR243C	0.11483586454641875	0.24205929239748297
YBR244W	0.29131188469094266	0.0014794190175627853
YBR245C	0.4936178451605917	0.6131700553369654
YBR246W	0.3979898853768837	0.2945478709285162
YBR247C	0.3260713453640533	0.3419397762055827
YBR248C	0.418384138132691	0.21641255400689097
YBR249C	0.2648479594704173	0.22590277466912256
YBR250W	1.976168070539542	-0.854687483510812
YBR251W	0.7432046382644912	-0.16833249977436104
YBR252W	0.4099015194182252	0.07970751453294032
YBR253W	-0.10230953496789799	0.6044326239819411
YBR254C	1.0631972197065476	0.22294086552540285
YBR255C-A	0.012750587942231545	0.20966621797666862
YBR255W	0.3421706112042623	-0.03473970607538263
YBR256C	0.37093513909865333	-0.1609831244495847
YBR257W	0.6845473455244026	1.2004116885611544
YBR258C	0.11459013812077029	0.4934291734846045
YBR259W	0.5043570059502932	-0.05337703051163551
YBR260C	0.3818771963232466	0.06110752648800771
YBR261C	0.3949884523425167	0.13127680790288926
YBR262C	0.49352053477130997	0.699028051073634
YBR263W	-0.02616568281875178	-0.12385147964380008
YBR264C	0.2656428194570743	0.47350764646770777
YBR265W	0.29808370280918123	0.18810763665156136
