species	gene_id	verified_ORF
S_pombe	SPAC1851.03	TRUE
S_pombe	SPAC1851.04c	TRUE
S_pombe	SPAC186.01	TRUE
S_pombe	SPAC186.02c	TRUE
S_pombe	SPAC186.03	TRUE
S_pombe	SPAC186.04c	TRUE
S_pombe	SPAC186.05c	TRUE
S_pombe	SPAC186.06	TRUE
S_pombe	SPAC186.07c	TRUE
S_pombe	SPAC186.08c	TRUE
S_pombe	SPAC186.09	TRUE
S_pombe	SPAC18B11.02c	TRUE
S_pombe	SPAC18B11.03c	TRUE
S_pombe	SPAC18B11.04	TRUE
S_pombe	SPAC18B11.05	TRUE
S_pombe	SPAC18B11.06	TRUE
S_pombe	SPAC18B11.07c	TRUE
S_pombe	SPAC18B11.08c	TRUE
S_pombe	SPAC18B11.09c	TRUE
S_pombe	SPAC18B11.10	TRUE
S_pombe	SPAC18B11.11	TRUE
S_pombe	SPAC18G6.01c	TRUE
S_pombe	SPAC18G6.02c	TRUE
S_pombe	SPAC18G6.03	TRUE
S_pombe	SPAC18G6.04c	TRUE
S_pombe	SPAC18G6.05c	TRUE
S_pombe	SPAC18G6.06	TRUE
S_pombe	SPAC18G6.07c	TRUE
S_pombe	SPAC18G6.09c	TRUE
S_pombe	SPAC18G6.10	TRUE
S_pombe	SPAC18G6.11c	TRUE
S_pombe	SPAC18G6.12c	TRUE
S_pombe	SPAC18G6.13	TRUE
S_pombe	SPAC18G6.14c	TRUE
S_pombe	SPAC18G6.15	TRUE
S_pombe	SPAC1952.01	TRUE
S_pombe	SPAC1952.02	TRUE
S_pombe	SPAC1952.03	TRUE
S_pombe	SPAC1952.04c	TRUE
S_pombe	SPAC1952.05	TRUE
S_pombe	SPAC1952.06c	TRUE
S_pombe	SPAC1952.07	TRUE
S_pombe	SPAC1952.08c	TRUE
S_pombe	SPAC1952.09c	TRUE
S_pombe	SPAC1952.10c	TRUE
S_pombe	SPAC1952.11c	TRUE
S_pombe	SPAC1952.12c	TRUE
S_pombe	SPAC1952.13	TRUE
S_pombe	SPAC1952.14c	TRUE
S_pombe	SPAC1952.15c	TRUE
S_pombe	SPAC1952.16	TRUE
S_pombe	SPAC1952.17c	TRUE
S_pombe	SPAC19A8.01c	TRUE
S_pombe	SPAC19A8.02	TRUE
S_pombe	SPAC19A8.03	TRUE
S_pombe	SPAC19A8.04	TRUE
S_pombe	SPAC19A8.05c	TRUE
S_pombe	SPAC19A8.06	TRUE
S_pombe	SPAC19A8.07c	TRUE
S_pombe	SPAC19A8.08	TRUE
S_pombe	SPAC19A8.09	TRUE
S_pombe	SPAC19A8.10	TRUE
S_pombe	SPAC19A8.11c	TRUE
S_pombe	SPAC19A8.12	TRUE
S_pombe	SPAC19A8.13	TRUE
S_pombe	SPAC19A8.14	TRUE
S_pombe	SPAC19A8.15	TRUE
S_pombe	SPAC19A8.16	TRUE
S_pombe	SPAC19B12.01	TRUE
S_pombe	SPAC19B12.02c	TRUE
S_pombe	SPAC19B12.03	TRUE
S_pombe	SPAC19B12.04	TRUE
