sample,dmso_time,labeling_time,dmso_conc,strain,plate,media,row,col,volume,pr_new,total,pr_new_95ci,p_spikein,spikein,aligned,orf_aligned,od,scale_factor,scaled_rna,scaled_mrna,smoothed_mrna,exp,klac,rep,iaa_time,iaa_conc,xrn1,repeat,control,time,add,treat,remove_sample,hu_conc,alphaFactor
TC-14Apr2019|A2,,8.5,,aa91,TC-14Apr2019,YPD,A,2,500.0,0.0560128979921775,191972,0.003567105683344,0.0696399709540652,8919,128073,105760,0.916,0.8844650373497333,113276.0907284924,93541.0223501078,94520.97887904728,screen_1,,,240.0,1000.0,,,,,,,,,
TC-14Apr2019|A3,,8.5,,aa81,TC-14Apr2019,YPD,A,3,500.0,0.0863652095296566,305788,0.0033567131815473,0.0803252048881353,15966,198767,160095,0.504,0.8979778954882299,178488.372352509,143761.77117818818,145460.42987521642,screen_1,,,240.0,1000.0,,,,,,,,,
TC-14Apr2019|A4,,8.5,,aa88,TC-14Apr2019,YPD,A,4,500.0,0.0610979703371476,264729,0.0031686608491153,0.0628933366527521,10863,172721,128065,0.63,1.0558494028806098,182367.3647149418,135217.3537799053,136352.15711397817,screen_1,,,240.0,1000.0,,,,,,,,,
TC-14Apr2019|A5,,8.5,,aa93,TC-14Apr2019,YPD,A,5,500.0,0.1527820656905041,271270,0.0044225190360587,0.0414730489798899,7381,177971,143331,0.98,0.9989667347768264,177787.10875496655,143182.9010622973,142855.3757654855,screen_1,,,240.0,1000.0,,,,,,,,,
TC-14Apr2019|A6,,8.5,,aa92,TC-14Apr2019,YPD,A,6,500.0,0.16730612667268,286411,0.0043972146209108,0.0328284973873146,6182,188312,151843,1.496,0.7813249869813517,147132.8709484323,118638.72999820938,118928.67615521705,screen_1,,,240.0,1000.0,,,,,,,,,
TC-14Apr2019|A7,,8.5,,aa90,TC-14Apr2019,YPD,A,7,500.0,0.0644682266994495,291808,0.0031116724926463,0.0590106544103389,11260,190813,141669,0.636,1.0090130924852263,192532.8152163835,142945.87579928953,145108.9871500895,screen_1,,,240.0,1000.0,,,,,,,,,
TC-14Apr2019|A8,,8.5,,aa98,TC-14Apr2019,YPD,A,8,500.0,0.1064064256281717,400402,0.0032079784757215,0.0327258497316636,8781,268320,205297,1.362,0.604186786281487,162115.3984950486,124037.73466323044,123855.02170275405,screen_1,,,240.0,1000.0,,,,,,,,,
TC-14Apr2019|A9,,8.5,,aa97,TC-14Apr2019,YPD,A,9,500.0,0.0709736612505868,269731,0.0034884685061071,0.0836002162791664,14070,168301,127084,0.408,1.258745836643115,211848.1830528729,159966.45590395364,159264.82100290275,screen_1,,,240.0,1000.0,,,,,,,,,
TC-14Apr2019|A10,,8.5,,nf227,TC-14Apr2019,YPD,A,10,500.0,0.0954564751941474,459552,0.0028842248634739,0.0411527746897029,12586,305836,235066,1.028,0.5584849387961796,170804.79974166836,131280.82062306275,132594.9635032373,screen_1,,,240.0,1000.0,,,,,,,,,
TC-14Apr2019|A11,,8.5,,aa85,TC-14Apr2019,YPD,A,11,500.0,0.0446687860764059,76885,0.0062482850362274,0.1965982769340083,8854,45036,33014,0.694,1.175962084900815,52960.62845559311,38823.21227091551,38946.90345713053,screen_1,,,240.0,1000.0,,,,,,,,,
TC-14Apr2019|A12,,8.5,,nf164,TC-14Apr2019,YPD,A,12,500.0,0.1907877594597661,212843,0.0053793020256341,0.0327612653025786,4528,138212,99500,1.22,1.3080551613276952,180788.9199574234,130151.48855210569,130396.542600627,screen_1,,,240.0,1000.0,,,,,,,,,
TC-14Apr2019|B1,,8.5,,aa100,TC-14Apr2019,YPD,B,1,500.0,0.1810930992074228,293990,0.0044976605019099,0.0416001769547975,7899,189879,147829,0.956,0.9568906291300048,181693.4357685762,141456.1848136595,142916.1050332017,screen_1,,,120.0,1000.0,,,,,,,,,
TC-14Apr2019|B2,,8.5,,aa91,TC-14Apr2019,YPD,B,2,500.0,0.0981384709687776,419546,0.0029515735335743,0.0464833158098611,13440,289136,241471,1.136,0.4732762460177733,136841.20066859492,114282.48840215776,114137.88240004021,screen_1,,,120.0,1000.0,,,,,,,,,
TC-14Apr2019|B3,,8.5,,aa81,TC-14Apr2019,YPD,B,3,500.0,0.1243607513783396,363270,0.0036509433187155,0.0614655394444921,13603,221311,177956,0.526,1.00988486939109,223498.6303298115,179715.07181736082,175093.3243040343,screen_1,,,120.0,1000.0,,,,,,,,,
TC-14Apr2019|B4,,8.5,,aa88,TC-14Apr2019,YPD,B,4,500.0,0.0335954677949359,356067,0.002191643423591,0.0347383966244725,8233,237000,177438,0.978,0.8974191598129827,212688.3408756769,159236.26087889602,163633.4056729773,screen_1,,,120.0,1000.0,,,,,,,,,
TC-14Apr2019|B5,,8.5,,aa93,TC-14Apr2019,YPD,B,5,500.0,0.1607390393849899,263281,0.0045768925360795,0.0387804415805932,6548,168848,131617,1.066,1.035205169846915,174792.32251831185,136250.59883974135,137629.71993994963,screen_1,,,120.0,1000.0,,,,,,,,,
TC-14Apr2019|B6,,8.5,,aa92,TC-14Apr2019,YPD,B,6,500.0,0.1796870881666823,112296,0.0072584479924645,0.0314320254973074,2288,72792,58552,1.482,2.131022739069298,155121.40722233235,124775.64341798551,125550.19170161911,screen_1,,,120.0,1000.0,,,,,,,,,
TC-14Apr2019|B7,,8.5,,aa90,TC-14Apr2019,YPD,B,7,500.0,0.0418752805766284,412156,0.0021653084062431,0.0343664422638064,9638,280448,212460,0.844,0.8883067026354016,249123.8381406931,188729.64204191745,185764.12411833537,screen_1,,,120.0,1000.0,,,,,,,,,
TC-14Apr2019|B8,,8.5,,aa98,TC-14Apr2019,YPD,B,8,500.0,0.1260714601201052,308361,0.0038082964244137,0.0306367689007171,6412,209291,162938,1.528,0.7375227812380583,154356.88040809444,120170.48692936671,121360.53629119344,screen_1,,,120.0,1000.0,,,,,,,,,
TC-14Apr2019|B9,,8.5,,aa97,TC-14Apr2019,YPD,B,9,500.0,0.0890087108510178,193785,0.0044865046186977,0.0750668023395296,9074,120879,94031,0.516,1.5432768127010812,186549.757842494,145115.86197509535,146946.1708341828,screen_1,,,120.0,1000.0,,,,,,,,,
TC-14Apr2019|B10,,8.5,,nf227,TC-14Apr2019,YPD,B,10,500.0,0.0511490353542632,432615,0.002357014581593,0.0258161696252052,7404,286797,223985,1.374,0.7102956661374275,203710.66616121575,159095.5747797917,159429.5028670765,screen_1,,,120.0,1000.0,,,,,,,,,
TC-14Apr2019|B11,,8.5,,aa85,TC-14Apr2019,YPD,B,11,500.0,0.0466018614910466,78492,0.0056483925502011,0.1377269058017511,6654,48313,37856,0.992,1.0947068583534525,52888.57244763034,41441.222829828286,44309.08282533678,screen_1,,,120.0,1000.0,,,,,,,,,
TC-14Apr2019|B12,,8.5,,nf164,TC-14Apr2019,YPD,B,12,500.0,0.156393568306554,328025,0.0039971371959342,0.0344407644914999,7664,222527,177994,1.24,0.7603527594450804,169199.0185010354,135338.22906466766,133804.87740193453,screen_1,,,120.0,1000.0,,,,,,,,,
