sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2025-08-28-MS250808L17_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_no-EU_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_no-EU_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_no-EU	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	Tbackground	NA	EU
2025-08-28-MS250808L18_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_04min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_04min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_04min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T1	4	EU
2025-08-28-MS250808L19_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_07min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_07min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_07min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T2	7	EU
2025-08-28-MS250808L20_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_10min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_10min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_10min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T3	10	EU
2025-08-28-MS250808L21_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_13min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_13min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_13min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T4	13	EU
2025-08-28-MS250808L22_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_18min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_18min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_18min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T5	18	EU
2025-08-28-MS250808L23_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_28min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_28min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_28min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T6	28	EU
2025-08-28-MS250808L24_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_44min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_44min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_44min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T7	44	EU
2025-08-28-MS250808L25_exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_no-EU_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_no-EU_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_no-EU	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_1hr-DMSO	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	Tbackground	NA	EU
2025-08-28-MS250808L26_exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_04min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_04min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_1hr-DMSO_04min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_1hr-DMSO	exp250624_MS1039_7.5hr-arrest_1hr-DMSO	T1	4	EU
