sample	sample_short	experiment	ref1	ref2	ref3 	sample_ref1	sample_ref2	sample_ref3	replicate_1	exp_group_1	exp_group_2	exp_group_3	exp_group_4	strain_id	strain_info	arrest	condition	strain_info_condition	strain_info_condition_easy	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume
2025-07-29-MS250701L10_exp250624_MS69_SCD_4hr45m-arrest_Torin+PhIAA_polyA-RNA	MS69_SCD_4.75hr-arrest_Torin+PhIAA	exp250624	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin+PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	D	B	A	MS69	WT	4.75hr G1 arrest	Torin+PhIAA	WT_Torin+PhIAA	WT_Torin+PhIAA	0.300132535	DNA_content_analysis_AC250708_MS69_Torin+PhIAA_4hr45min_exp250624.fcs	1.000837718	255.60631
2025-07-29-MS250701L11_exp250624_MS756_SCD_1hr-arrest_Torin_polyA-RNA	MS756_SCD_1hr-arrest_Torin	exp250624	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_Torin	MS69_SCD_1hr-arrest_DMSO	rep1	B	E	B	A	MS756	AID-Bcy1	1hr G1 arrest	Torin	AID-Bcy1_Torin	AID-Bcy1_Torin	0.854943536	DNA_content_analysis_AC250708_MS756_Torin_1hr_exp250624.fcs	1.44560734	64.05203
2025-07-29-MS250701L12_exp250624_MS756_SCD_1hr-arrest_PhIAA_polyA-RNA	MS756_SCD_1hr-arrest_PhIAA	exp250624	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	E	B	A	MS756	AID-Bcy1	1hr G1 arrest	PhIAA	AID-Bcy1_PhIAA	PKA hyper.	0.87356717	DNA_content_analysis_AC250708_MS756_PhIAA_1hr_exp250624.fcs	1.272306893	67.00578
2025-07-29-MS250701L13_exp250624_MS756_SCD_1hr-arrest_Torin+PhIAA_polyA-RNA	MS756_SCD_1hr-arrest_Torin+PhIAA	exp250624	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_Torin+PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	E	B	A	MS756	AID-Bcy1	1hr G1 arrest	Torin+PhIAA	AID-Bcy1_Torin+PhIAA	TORC1 inhib. + PKA hyper.	0.836462819	DNA_content_analysis_AC250708_MS756_Torin+PhIAA_1hr_exp250624.fcs	1.48043394	64.85363
2025-07-29-MS250701L14_exp250624_MS756_SCD_4hr45m-arrest_Torin_polyA-RNA	MS756_SCD_Large-G1arrest_Torin	exp250624	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_Torin	MS69_SCD_1hr-arrest_DMSO	rep1	B	E	B	A	MS756	AID-Bcy1	Large G1 arrest	Torin	AID-Bcy1_Torin	AID-Bcy1_Torin	0.320817244	DNA_content_analysis_AC250708_MS756_Torin_4hr45min_exp250624.fcs	1.000470523	269.76155
2025-07-29-MS250701L15_exp250624_MS756_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS756_SCD_Large-G1arrest_PhIAA	exp250624	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	E	B	A	MS756	AID-Bcy1	Large G1 arrest	PhIAA	AID-Bcy1_PhIAA	PKA hyper.	0.356388216	DNA_content_analysis_AC250708_MS756_PhIAA_4hr45min_exp250624.fcs	1.00034569	258.81605
2025-07-29-MS250701L16_exp250624_MS756_SCD_4hr45m-arrest_Torin+PhIAA_polyA-RNA	MS756_SCD_Large-G1arrest_Torin+PhIAA	exp250624	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_Torin+PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	E	B	A	MS756	AID-Bcy1	Large G1 arrest	Torin+PhIAA	AID-Bcy1_Torin+PhIAA	TORC1 inhib. + PKA hyper.	0.297277878	DNA_content_analysis_AC250708_MS756_Torin+PhIAA_4hr45min_exp250624.fcs	1.001162866	278.21851
2026-01-03-AC251128L01_exp251111_MS756c2_SCD_1hr-arrest_polyA-RNA	MS756_SCD_1hr-arrest	exp251111	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest	MS69_SCD_1hr-arrest_DMSO	rep1	B	E	B	A	MS756c2	AID-Bcy1	1hr G1 arrest	no treatment	AID-Bcy1__no-treatment	AID-Bcy1__no-treatment	0.512613174	DNA_content_analysis_AC260123_MS756c2_no-treatment_1hr_exp251111_G1-arrest.fcs	1.33957	66.49
2026-01-03-AC251128L02_exp251111_MS756c2_SCD_1hr-arrest_PhIAA_polyA-RNA	MS756_SCD_1hr-arrest_PhIAA	exp251111	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	E	B	A	MS756c2	AID-Bcy1	1hr G1 arrest	PhIAA	AID-Bcy1_PhIAA	PKA hyper.	0.501318743	DNA_content_analysis_AC260123_MS756c2_PhIAA_1hr_exp251111_G1-arrest.fcs	1.29282	69.52
2026-01-03-AC251128L03_exp251111_MS756c2_SCD_1hr-arrest_Torin+PhIAA_polyA-RNA	MS756_SCD_1hr-arrest_Torin+PhIAA	exp251111	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_Torin+PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	E	B	A	MS756c2	AID-Bcy1	1hr G1 arrest	Torin+PhIAA	AID-Bcy1_Torin+PhIAA	TORC1 inhib. + PKA hyper.	0.479100416	DNA_content_analysis_AC260123_MS756c2_PhIAA+Torin_1hr_exp251111_G1-arrest.fcs	1.42225	66.88
