gene_id	log2FC_ccr4_60	log2FC_not1_60	log2FC_xrn1_60	log2FC_dcp2_chapp_60	log2FC_pop2_60	not1_sensitive	xrn1_sensitive	ccr4_sensitive	pop2_sensitive	dcp2_sensitive
YMR268C	0.09310940439148145	0.31663379521784935	0.7385077589746123	0.1393366816088892	-0.009984088572622125	FALSE	FALSE	FALSE	FALSE	FALSE
YMR269W	-0.16794463731407164	0.7983661388303496	1.792336660071691	0.1930718476662265	-0.19575098881021763	TRUE	TRUE	FALSE	FALSE	FALSE
YMR270C	-0.15200309344504995	-0.004445905031192147	1.2963027840734667	0.6251688231161759	-0.0365258760251142	FALSE	FALSE	FALSE	FALSE	FALSE
YMR271C	0.2630344058337938	0.36257007938470837	1.5967356767654055	1.0995356735509147	-0.34103691783506696	FALSE	TRUE	FALSE	FALSE	TRUE
YMR272C	-0.7369655941662062	-0.17449773123213655	-0.14243438459627183	0.21773605890522654	-0.3816975539725773	FALSE	FALSE	FALSE	FALSE	FALSE
YMR273C	0.22456025801915822	0.4889758942513126	0.3614302017590554	0.35142952177950776	-0.12398871727545366	FALSE	FALSE	FALSE	FALSE	FALSE
YMR274C	0.23828774349810816	0.24470258306153644	0.9943870359006597	0.2871626767266859	0.02272007650008345	FALSE	FALSE	FALSE	FALSE	FALSE
YMR275C	0.03291462247273498	0.5448670951433576	1.0447909317667965	0.42033179894835676	-0.4150374992788438	FALSE	FALSE	FALSE	FALSE	FALSE
YMR276W	0.32665961561245077	0.6462001302430241	-0.1077965536760697	-0.011825435396789475	0.1527662222863768	FALSE	FALSE	FALSE	FALSE	FALSE
YMR277W	-0.24540073131817858	0.14545754893183185	0.6952126549396458	0.9786731587997823	0.16128090703306064	FALSE	FALSE	FALSE	FALSE	TRUE
YMR278W	-0.1612809070330609	0.016479933823355896	0.3650664331587769	0.17409641615136523	0.08565202642783935	FALSE	FALSE	FALSE	FALSE	FALSE
YMR280C	0.2630344058337938	-0.2801079191927352	-0.6429154596990218	-0.09310940439148147	0.3536369546147006	FALSE	FALSE	FALSE	FALSE	FALSE
YMR281W	-0.5265458144958344	0.22272969662515837	1.2679664600628706	0.5853724154961512	0	FALSE	FALSE	FALSE	FALSE	FALSE
YMR282C	0.07365704172530899	0.2979681959431811	1.3471293843458827	0.15432814639129372	-0.07281606528593802	FALSE	FALSE	FALSE	FALSE	FALSE
YMR283C	0.3625700793847081	0.8774333577937448	1.2441811101017348	0.46234321405720075	0.0958519709162528	TRUE	FALSE	FALSE	FALSE	FALSE
YMR284W	-0.22239242133644782	-0.09310940439148147	0.9789383844721704	0.6040713236688606	0.0874628412503394	FALSE	FALSE	FALSE	FALSE	FALSE
YMR285C	-0.3275746580285042	1.0561693773542253	1.1032524694601429	-0.02153316154964132	-0.08236196955747369	TRUE	FALSE	FALSE	FALSE	FALSE
YMR286W	-0.07138463323676573	0.38349759176775133	0.8493307528228974	0.277238025584946	0.18778342198236167	FALSE	FALSE	FALSE	FALSE	FALSE
