gene_id	log2FC_dcp2D_vs_WT	padj_dcp2D	pval_dcp2D	log2FC_xrn1D_vs_WT	padj_xrn1D	pval_xrn1D	TE_vijjamarri_WT
YDR518W	-0.8291425347813951	7.840708494587857e-35	9.120871410887557e-36	-1.007853485933016	1.8515029960653445e-55	2.3150620573772468e-56	-0.8529314105299035
YDR519W	-0.14356124738069198	0.07846637887361076	0.05668946829162253	-0.9034988408022863	3.909927586177059e-33	8.011484336601356e-34	-0.5851246486078086
YDR520C	-0.191568551001253	0.07947941796671344	0.05750424714794134	1.1378677201704788	7.679726772893166e-32	1.6438741985082802e-32	-1.1794351997512644
YDR521W	3.683964921470283	0.049678165822295034	0.034739514540922875	3.0985804890412916	0.09301477835802174	0.07368132575570485	NA
YDR522C	-0.6330015174325527	0.4508296726348182	0.3880126920054285	-1.194518215712748	0.11595908300094886	0.09327739050371572	-2.840703038236073
YDR523C	0.21421364559748873	0.41479076683574756	0.3525170423196632	0.2272015461064575	0.35171477841573845	0.30446640989517126	-2.028430030031088
YDR524C	-0.33922512751646244	7.946453277595173e-8	3.1849159504976225e-8	0.32883497620659957	3.885662198863604e-8	1.9783951762445482e-8	-2.232561150885732
YDR524W-C	0.0713622430534665	0.9787622165829604	0.9726937174544565	-2.03604655712021	0.40435385804707963	0.35407937105570314	NA
YDR524C-B	-0.25247116272153897	1.2237334904220485e-6	5.352704948509787e-7	-1.4181010226253665	9.720043226289609e-173	1.8366777870756863e-174	-1.914906913378784
YDR524C-A	-0.241849581063419	0.6634857873077818	0.6087045140707551	-1.4646128884766043	0.002927540708997078	0.001994478944792075	-6.428040917658568
YDR525W	0.3296973429325024	0.60170686097326	0.5438811794714011	0.5687197887920096	0.31772607541647024	0.27293298388669035	NA
YDR525W-A	0.988224228705697	3.2579220787460286e-21	6.593757263006798e-22	-0.074941127798399	0.5156738354502876	0.4643652784539052	0.067158836167231
YDR526C	-0.7212710874676965	0.49431510891102093	0.43068316693133235	0.12333358000552963	0.9019859534209481	0.8833443777671346	NA
YDR527W	-0.618863998598666	9.30548036428784e-20	1.9959939429155937e-20	-0.23243599920556432	4.600946615463465e-4	2.947646476311618e-4	-0.8902291844102953
YDR528W	0.1822535494158302	0.0035094701859715626	0.0021065110387009705	0.7877486932759139	2.569711850019044e-43	4.112145918837679e-44	-1.5303292399111752
YDR529C	-0.1661173733922917	0.0037915945195948248	0.002283688461757733	-0.7496409916685332	3.2759239430741173e-43	5.247088098959872e-44	-0.3467472040114031
YDR530C	1.0970420187197905	1.643464668546718e-41	1.494499905262442e-42	1.0815641330001569	1.9299611290771586e-42	3.162469520631305e-43	-0.7650846625847529
YDR531W	-0.4277202458853563	3.4939668024168284e-10	1.208497817842136e-10	-0.3106431217092004	1.8596981866431855e-6	1.0278579880118227e-6	-0.8921917754899471
YDR532C	0.4965364107982244	6.262447405745094e-5	3.1173564588385674e-5	0.8782848708991171	1.0036094867579469e-13	3.9720652996723585e-14	0.4259531561389955
YDR533C	-0.3766613594911274	1.4964438046799962e-6	6.58532474424427e-7	-1.0461398399085189	3.4856371885991773e-44	5.4646393479367083e-45	-1.2524147121643545
YDR534C	1.6066625400693015	7.833435838452203e-45	6.464261342921142e-46	1.7644660327695374	2.5465023690444588e-56	3.1164016296691114e-57	NA
YDR535C	2.0245504602363806	3.451057235429719e-15	9.195686905743494e-16	2.247580306194433	1.7504627953048313e-19	5.584219221514231e-20	-4.21068172033737
YDR536W	2.605736129904841	3.7115765375023e-10	1.2865045335186597e-10	1.8517273504408747	7.244756891887823e-6	4.138944371361954e-6	1.39310480971443
YDR537C	-0.4211114627262807	0.6189471736841116	0.5622971518824952	-1.9670701315587964	0.011316400489412785	0.008120611570569168	NA
YDR538W	0.12222635701798308	0.13475033762216723	0.10198774446248177	-0.11086284069020526	0.16001237441876373	0.13083976113161092	-1.223006586790208
YDR539W	0.16114801532348347	0.01055351843526533	0.0067007208134154395	-0.0047915499063169165	0.9465304375049927	0.9339547452440761	-0.2495038834978774
YDR540C	-0.2139290417130884	0.16532832410435702	0.12715685984406555	0.09889316727098059	0.5095301257674595	0.45823110808611794	-2.283959133547975
YDR541C	0.7710224088778254	4.856669808328872e-21	9.915521619307395e-22	0.9052653937204888	1.6601743288841416e-30	3.7080657803391e-31	-2.433462040100276
YDR542W	2.3643015746636453	0.006803511713054492	0.004212271645194943	2.0656873342771727	0.015243635970085587	0.01106930105356525	NA
YDR543C	1.9648204667976168	0.31663800863538843	0.26012555625272166	0.3140381188884425	0.8810339833954491	0.8590536552003161	NA
YDR544C	0.522504510998822	0.4531561971756374	0.39027358345477836	-0.9809477292768208	0.13788969056625383	0.11173258215502913	NA
YDR545W	1.1865352153916955	2.1437179067897823e-36	2.351317397025108e-37	0.5460487676040086	6.0292984794614485e-9	2.9612453559445286e-9	NA
YDR545C-A	-2.673999460600595	0.6410757512160687	0.5851448730098838	-3.8430093995561965	0.48428414322459334	0.43273869485362615	NA
YIL122W	-0.15928008393809823	0.09034321492815728	0.06604363748512472	0.638826007828005	1.0925149362561636e-14	4.149750414802345e-15	-0.5282851564387262
YIL048W	-0.6969052672665795	2.935549737285019e-41	2.6998043789910937e-42	0.07241803142647564	0.1674631986933523	0.13757494843940146	-1.540932268129848
YIR019C	1.494025793496321	1.1575940359541794e-11	3.677505706190425e-12	1.8503053967871137	1.613475208463126e-17	5.4997257991457904e-18	-4.955154924803165
YIL177C	0.3833750326474893	1.3595344693987083e-5	6.416344403111412e-6	0.41903292642988477	1.227616830268935e-6	6.743375000635824e-7	NA
YIL177W-A	2.006314157920483	0.008676283034943014	0.005443490241881873	-2.7221205868347265	0.004373514488593714	0.0030209144216312355	NA
YIL176C	-0.30032229597364024	0.8937281463369017	0.8686604835373724	0.2748388925108939	0.890675152132971	0.8697691366046063	NA
YIL173W	0.1790065610403342	0.41889373354364684	0.3567460804271182	0.45207670310867326	0.021688239675692333	0.01598283030130737	NA
YIL172C	2.168200447559237	0.01475141075625881	0.009553356803617862	1.474139516772	0.09439668520619657	0.07488747952437265	NA
YIL171W-A	2.1835900134290718	0.2697334354196814	0.2173317228403633	-0.46460493928742713	0.830844941517871	0.8031255797252761	NA
YIL169C	2.2911268906837243	7.808504935495817e-55	4.968210255681573e-56	-0.24570984057798087	0.12742787306387957	0.10291672476121716	-0.9652697003537782
YIL166C	0.9042289611182666	4.190328116952896e-12	1.302131781249756e-12	1.1994030267728508	4.891186016456064e-22	1.4130574304996333e-22	-2.493245550051927
YIL165C	1.6670387388743053	1.7320150957816933e-43	1.4957614866139513e-44	1.7437133761307864	2.999655170344095e-50	4.1226438789346796e-51	-7.027240389707885
YIL164C	1.7394951406119885	9.255059813922728e-57	5.6290000639742606e-58	1.7964005901823819	2.0102993266075776e-63	2.2079461160260374e-64	NA
YIL163C	1.7743936089584609	3.1980362753548815e-6	1.4455841563532103e-6	0.7996762559884252	0.038590151135155674	0.02915054670188834	-1.5878904630940653
YIL162W	0.6231018410652763	5.74019312062864e-33	7.236676889602684e-34	-0.29384607104596827	1.7882044332464404e-8	8.970060029777686e-9	-0.5434137657920171
YIL161W	0.30368825630262064	0.02199725188283648	0.014606383077797238	0.12632547445037198	0.34700680514071913	0.29987862965659434	0.6339626170247027
YIL160C	2.472902837692223	6.055065236558783e-10	2.1327702471847145e-10	0.7073348095392722	0.09293408357897229	0.07360368444068295	0.9770323596728917
YIL159W	-0.5646309203730024	2.105425153994664e-13	6.073222248162937e-14	0.47818572913898877	2.008899071283075e-11	8.769286320909438e-12	-1.9125282216718176
